CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Scott Lang / Ant-Man,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human hero,short,n
Hope Van Dyne / Wasp,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human hero,change,n
Luis,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,short,y
Sonny Burch,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Paxton,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,short,n
Maggie Lang,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human,long,n
Dave,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,bald,n
Kurt,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,short,y
Ava / Ghost,MCU,Ant-Man and the Wasp,25-Jun-18,bad,female,superhero,long,n
Cassie Lang,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human,long,n
Jimmy Woo,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Dr. Bill Foster,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,short,y
Dr. Hank Pym,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,short,y
Janet Van Dyne / Wasp,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human hero,short,n
Uzman,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Anitolov,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Knox,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Agent Stoltz,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Agent Burleigh,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,y
Elihas Starr,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,bald,n
Catherine Starr,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human,long,n
Whale Boat Captain Daniel Gooobler,MCU,Ant-Man and the Wasp,25-Jun-18,good,male,human,long,n
Agent Pearson,MCU,Ant-Man and the Wasp,25-Jun-18,bad,male,human,short,n
Sister Ana Maria,MCU,Ant-Man and the Wasp,25-Jun-18,good,female,human,short,n
Stan Lee,MCU,Ant-Man and the Wasp,26-Jun-18,good,male,human,short,y
