CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Tony Stark / Iron Man,MCU,Avengers: Infinity War,23-Apr-18,good,male,human hero,short,y
Thor,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,change,y
Bruce Banner / Hulk,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,n
Steve Rogers / Captain America,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,change
Natasha Romanoff / Black Widow,MCU,Avengers: Infinity War,23-Apr-18,good,female,human hero,change,n
James Rhodes / War Machine,MCU,Avengers: Infinity War,23-Apr-18,good,male,human hero,short,n
Dr. Stephen Strange,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,y
Peter Parker / Spider-Man,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,n
T'Challa / Black Panther,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,y
Gamora,MCU,Avengers: Infinity War,23-Apr-18,good,female,alien hero,long,n
Nebula,MCU,Avengers: Infinity War,23-Apr-18,change,female,alien hero,bald,n
Loki,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,long,n
Vision,MCU,Avengers: Infinity War,23-Apr-18,good,?,superhero,NA,NA
Wanda Maximoff / Scarlet Witch,MCU,Avengers: Infinity War,23-Apr-18,good,female,superhero,long,n
Sam Wilson / Falcon,MCU,Avengers: Infinity War,23-Apr-18,good,male,human hero,short,y
Bucky Barnes / Winter Soldier,MCU,Avengers: Infinity War,23-Apr-18,change,male,superhero,change,change
Heimdall,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,long,y
Okoye,MCU,Avengers: Infinity War,23-Apr-18,good,female,human hero,bald,n
Eitri,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien,long,y
Wong,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,bald,n
Mantis,MCU,Avengers: Infinity War,23-Apr-18,good,female,alien hero,long,n
Drax,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,bald,n
Groot,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,NA,NA
Rocket,MCU,Avengers: Infinity War,23-Apr-18,good,male,alien hero,NA,NA
Pepper Potts,MCU,Avengers: Infinity War,23-Apr-18,good,female,human,long,n
Thanos,MCU,Avengers: Infinity War,23-Apr-18,bad,male,superhero,bald,n
Peter Quill / Star-Lord,MCU,Avengers: Infinity War,23-Apr-18,good,male,superhero,short,y
Thaddeus Ross,MCU,Avengers: Infinity War,23-Apr-18,change,male,human,short,y
Shuri,MCU,Avengers: Infinity War,23-Apr-18,good,female,human hero,long,n
Cull Obsidian,MCU,Avengers: Infinity War,23-Apr-18,bad,male,alien hero,NA,NA
Ebony Maw,MCU,Avengers: Infinity War,23-Apr-18,bad,male,alien hero,long,n
Proxima Midnight,MCU,Avengers: Infinity War,23-Apr-18,bad,female,alien hero,long,n
Corvus Glaive,MCU,Avengers: Infinity War,23-Apr-18,bad,male,alien hero,bald,n
M'Baku,MCU,Avengers: Infinity War,23-Apr-18,good,male,human hero,short,y
Ayo,MCU,Avengers: Infinity War,23-Apr-18,good,female,human hero,bald,n
Ned,MCU,Avengers: Infinity War,23-Apr-18,good,male,human,short,n
Gamora's Mother,MCU,Avengers: Infinity War,23-Apr-18,good,female,alien,long,n
Johann Schmidt / Red Skull,MCU,Avengers: Infinity War,23-Apr-18,bad,male,superhero,change,n
Nick Fury,MCU,Avengers: Infinity War,23-Apr-18,good,male,human hero,bald,y
Agent Maria Hill,MCU,Avengers: Infinity War,23-Apr-18,good,female,human hero,short,n
The Collector,MCU,Avengers: Infinity War,23-Apr-18,bad,male,alien,short,n
Friday,MCU,Avengers: Infinity War,23-Apr-18,good,?,superhero,NA,NA
Cindy,MCU,Avengers: Infinity War,23-Apr-18,good,female,human,long,n
Sally,MCU,Avengers: Infinity War,23-Apr-18,good,female,human,long,n
Tiny,MCU,Avengers: Infinity War,23-Apr-18,good,male,human,short,n
Stan Lee,MCU,Avengers: Infinity War,23-Apr-18,good,male,human,short,y
