CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
T'Challa / Black Panther,MCU,Black Panther,29-Jan-18,good,male,superhero,short,y
Erik Killmonger,MCU,Black Panther,29-Jan-18,bad,male,superhero,short,y
Nakia,MCU,Black Panther,29-Jan-18,good,female,human hero,short,n
Okoye,MCU,Black Panther,29-Jan-18,good,female,human hero,bald,n
Everett K. Ross,MCU,Black Panther,29-Jan-18,good,male,human,short,n
W'Kabi,MCU,Black Panther,29-Jan-18,change,male,human,short,y
Shuri,MCU,Black Panther,29-Jan-18,good,female,human hero,long,n
M'Baku,MCU,Black Panther,29-Jan-18,change,male,human hero,short,y
N'Jobu,MCU,Black Panther,29-Jan-18,bad,male,human,short,y
Ramonda,MCU,Black Panther,29-Jan-18,good,female,human,long,n
Zuri,MCU,Black Panther,29-Jan-18,good,male,human,bald,y
Ulysses Klaue,MCU,Black Panther,29-Jan-18,bad,male,human,short,y
Ayo,MCU,Black Panther,29-Jan-18,good,female,human,bald,n
T'Chaka,MCU,Black Panther,29-Jan-18,good,male,human,short,y
Young T'Chaka,MCU,Black Panther,29-Jan-18,good,male,human,short,y
Bucky Barnes,MCU,Black Panther,29-Jan-18,change,male,superhero,change,change
Limbani,MCU,Black Panther,29-Jan-18,bad,male,human,short,y
Linda,MCU,Black Panther,29-Jan-18,bad,female,human,long,n
Young T'Challa,MCU,Black Panther,29-Jan-18,good,male,superhero,short,y
James / Young Zuri,MCU,Black Panther,29-Jan-18,good,male,human,short,n
Griot,MCU,Black Panther,29-Jan-18,good,?,superhero,NA,NA
Stan Lee,MCU,Black Panther,2018-01-29,good,male,human,short,y
