CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Steve Rogers / Captain America,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,superhero,short,change
Nick Fury,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human hero,bald,y
Natasha Romanoff / Black Widow,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human hero,change,n
Alexander Pierce,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Bucky Barnes / Winter Soldier,MCU,Captain America: The Winter Soldier,13-Mar-14,change,male,superhero,change,change
Sam Wilson / Falcon,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human hero,short,y
Maria Hill,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human hero,short,n
Brock Rumlow,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human hero,short,y
Jasper Sitwell,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,bald,n
Sharon Carter,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human,long,n
Peggy Carter,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human,long,n
Dr. Arnim Zola,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Jack Rollins,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Councilwoman Hawley,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human,short,n
Councilman Singh,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,short,y
Councilman Rockwell,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,bald,n
Councilman Yen,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,short,n
Senator Stern,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Georges Batroc,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Dr. List,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Baron Wolfgang von Strucker,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,bald,y
Specialist Cameron Klein,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,short,y
Dr. Fine,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,short,n
Renata,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human,long,n
Garcia,MCU,Captain America: The Winter Soldier,13-Mar-14,good,female,human,long,n
Russo,MCU,Captain America: The Winter Soldier,13-Mar-14,bad,male,human,short,n
Scudder,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,bald,n
Stan Lee,MCU,Captain America: The Winter Soldier,13-Mar-14,good,male,human,bald,y
