CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Dr. Stephen Strange,MCU,Doctor Strange,13-Oct-16,good,male,superhero,short,y
Mordo,MCU,Doctor Strange,13-Oct-16,change,male,superhero,short,n
Christine Palmer,MCU,Doctor Strange,13-Oct-16,good,female,human,short,n
Wong,MCU,Doctor Strange,13-Oct-16,good,male,superhero,bald,n
Kaecilius,MCU,Doctor Strange,13-Oct-16,bad,male,superhero,long,n
The Ancient One,MCU,Doctor Strange,13-Oct-16,good,female,superhero,short,n
Dr. Nicodemus West,MCU,Doctor Strange,13-Oct-16,good,male,human,short,n
Jonathan Pangborn,MCU,Doctor Strange,13-Oct-16,good,male,superhero,short,y
Hamir,MCU,Doctor Strange,13-Oct-16,good,male,superhero,long,y
Tina Minoru,MCU,Doctor Strange,13-Oct-16,good,female,superhero,long,n
Daniel Drumm,MCU,Doctor Strange,13-Oct-16,good,male,superhero,bald,n
Nurse Billy,MCU,Doctor Strange,13-Oct-16,good,male,human,short,n
Thor,MCU,Doctor Strange,13-Oct-16,good,male,alien hero,change,y
Sol Rama,MCU,Doctor Strange,13-Oct-16,good,male,superhero,short,y
Dr. Patel,MCU,Doctor Strange,13-Oct-16,good,female,human,long,n
Dr. Bruner,MCU,Doctor Strange,13-Oct-16,good,female,human,long,n
Dr. Garrison,MCU,Doctor Strange,13-Oct-16,good,female,human,short,n
Dr. Weiss,MCU,Doctor Strange,13-Oct-16,good,male,human,short,n
Pat Kiernan,MCU,Doctor Strange,13-Oct-16,good,male,human,short,n
Stan Lee,MCU,Doctor Strange,13-Oct-16,good,male,human,bald,y
