CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Peter Quill / Star-Lord,MCU,Guardians of the Galaxy,21-Jul-14,good,male,human hero,short,y
Gamora,MCU,Guardians of the Galaxy,21-Jul-14,good,female,alien hero,long,n
Drax,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien hero,bald,n
Groot,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien hero,NA,NA
Rocket,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien hero,NA,NA
Ronan,MCU,Guardians of the Galaxy,21-Jul-14,bad,male,alien hero,bald,n
Yondu Udonta,MCU,Guardians of the Galaxy,21-Jul-14,change,male,alien hero,bald,n
Nebula,MCU,Guardians of the Galaxy,21-Jul-14,change,female,alien hero,bald,n
Korath,MCU,Guardians of the Galaxy,21-Jul-14,bad,male,superhero,bald,y
Corpsman Dey,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,short,n
Nova Prime,MCU,Guardians of the Galaxy,21-Jul-14,good,female,alien,long,n
The Collector,MCU,Guardians of the Galaxy,21-Jul-14,bad,male,alien,short,n
Meredith Quill,MCU,Guardians of the Galaxy,21-Jul-14,good,female,human,long,n
Kraglin,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,short,y
Denarian Saal,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,short,n
Grandpa Quill,MCU,Guardians of the Galaxy,21-Jul-14,good,male,human,short,n
Bereet,MCU,Guardians of the Galaxy,21-Jul-14,good,female,alien,long,n
Moloka Dar,MCU,Guardians of the Galaxy,21-Jul-14,bad,male,alien,bald,n
The Other,MCU,Guardians of the Galaxy,21-Jul-14,bad,?,alien hero,?,?
Carina,MCU,Guardians of the Galaxy,21-Jul-14,good,female,alien,long,n
Thanos,MCU,Guardians of the Galaxy,21-Jul-14,bad,male,alien hero,bald,n
Howard the Duck,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,NA,NA
The Broker,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,bald,n
Dr. Fitzgibbon,MCU,Guardians of the Galaxy,21-Jul-14,good,male,human,short,n
Horuz,MCU,Guardians of the Galaxy,21-Jul-14,good,male,alien,short,y
Cosmo the Space Dog,MCU,Guardians of the Galaxy,21-Jul-14,good,male,superhero,NA,NA
Stan Lee,MCU,Guardians of the Galaxy,21-Jul-14,good,male,human,bald,y
