CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Peter Parker / Spider-Man,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,superhero,short,n
Adrian Toomes / Vulture,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human hero,short,n
Tony Stark / Iron Man,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human hero,short,y
May Parker,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Happy Hogan,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Michelle,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Aaron Davis,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,y
Ned,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Liz Toomes,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Flash,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,long,n
Herman Schultz,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human hero,bald,n
Anne Marie Hoag,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,short,n
Abe,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Ms. Warren,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,short,n
Betty Brant,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Mr. Harrington,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,y
Phineas Mason / The Tinkerer,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human hero,short,y
Mac Gargan,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human,short,y
Jackson Brice,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human hero,short,y
Karen,MCU,Spider-Man: Homecoming,28-Jun-17,good,?,alien,NA,NA
Jason,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Cindy,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Sally,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Charles Murphy,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Seymour,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Mr. Delmar,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,y
Stan Lee,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,y
Steve Rogers / Captain America,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,superhero,short,change
Pepper Potts,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Coach Wilson,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Principal Morita,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Doris Toomes,MCU,Spider-Man: Homecoming,28-Jun-17,good,female,human,long,n
Agent Foster,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Randy,MCU,Spider-Man: Homecoming,28-Jun-17,bad,male,human hero,llong,y
Mr. Cobbwell,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,y
Mr. Hapgood,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,short,n
Dean Crimson,MCU,Spider-Man: Homecoming,28-Jun-17,good,male,human,bald,n
