CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Tony Stark / Iron Man,MCU,The Avengers,11-Apr-12,good,male,human hero,short,y
Steve Rogers / Captain America,MCU,The Avengers,11-Apr-12,good,male,superhero,short,change
Bruce Banner / Hulk,MCU,The Avengers,11-Apr-12,good,male,superhero,short,change
Thor,MCU,The Avengers,11-Apr-12,good,male,alien hero,change,y
Natasha Romanoff / Black Widow,MCU,The Avengers,11-Apr-12,good,female,human hero,change,n
Clint Barton / Hawkeye,MCU,The Avengers,11-Apr-12,good,male,human hero,short,n
Loki,MCU,The Avengers,11-Apr-12,change,male,alien hero,long,n
Agent Phil Coulson,MCU,The Avengers,11-Apr-12,good,male,human hero,short,n
Agent Maria Hill,MCU,The Avengers,11-Apr-12,good,female,human hero,short,n
Erik Selvig,MCU,The Avengers,11-Apr-12,good,male,human,short,n
Nick Fury,MCU,The Avengers,11-Apr-12,good,male,human hero,bald,y
Pepper Potts,MCU,The Avengers,11-Apr-12,good,female,human,long,n
Jarvis,MCU,The Avengers,11-Apr-12,good,?,alien,NA,NA
The Other,MCU,The Avengers,11-Apr-12,bad,male,alien hero,NA,NA
Georgi Luchkov,MCU,The Avengers,11-Apr-12,bad,male,human,short,n
Stan Lee,MCU,The Avengers,11-Apr-12,good,male,human,short,n
Agent Jasper Sitwell,MCU,The Avengers,11-Apr-12,bad,male,human,bald,n
Shawna Lynde,MCU,The Avengers,11-Apr-12,good,female,human,short,n
Senator Boynton,MCU,The Avengers,11-Apr-12,good,male,human,bald,n
Pat Kiernan,MCU,The Avengers,11-Apr-12,good,male,human,short,n
Thomas Roberts,MCU,The Avengers,11-Apr-12,good,male,human,short,n
