CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Thor,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien hero,change,y
Loki,MCU,Thor: Ragnarok,10-Oct-17,change,male,alien hero,long,n
Hela,MCU,Thor: Ragnarok,10-Oct-17,bad,female,alien hero,long,n
Heimdall,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien hero,long,y
Grandmaster,MCU,Thor: Ragnarok,10-Oct-17,bad,male,alien,short,y
Valkyrie,MCU,Thor: Ragnarok,10-Oct-17,good,female,alien hero,long,n
Skurge,MCU,Thor: Ragnarok,10-Oct-17,change,male,alien,bald,y
Bruce Banner / Hulk,MCU,Thor: Ragnarok,10-Oct-17,good,male,superhero,short,n
Odin,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,long,y
Dr. Stephen Strange,MCU,Thor: Ragnarok,10-Oct-17,good,male,superhero,short,y
Korg,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,NA,NA
Topaz,MCU,Thor: Ragnarok,10-Oct-17,bad,female,alien,short,n
Surtur,MCU,Thor: Ragnarok,10-Oct-17,bad,male,alien hero,NA,NA
Hogun,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien hero,long,y
Actor Thor,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,long,y
Actor Odin,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,long,y
Actor Sif,MCU,Thor: Ragnarok,10-Oct-17,good,female,alien,long,n
Cousin Carlo,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,NA,NA
Actor Loki,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,long,n
Volstagg,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien hero,long,y
Fandral,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien hero,long,y
Beerbot 5000,MCU,Thor: Ragnarok,10-Oct-17,good,male,alien,NA,NA
Stan Lee,MCU,Thor: Ragnarok,10-Oct-17,good,male,human,bald,y
