CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Thor,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,change,y
Jane Foster,MCU,Thor: The Dark World,22-Oct-13,good,female,human,long,n
Loki,MCU,Thor: The Dark World,22-Oct-13,change,male,alien hero,long,n
Odin,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,long,y
Malekith,MCU,Thor: The Dark World,22-Oct-13,bad,male,alien hero,bald,n
Sif,MCU,Thor: The Dark World,22-Oct-13,good,female,alien hero,long,n
Fandral,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,long,y
Volstagg,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,long,y
Hogun,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,long,y
Heimdall,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,long,y
Frigga,MCU,Thor: The Dark World,22-Oct-13,good,female,alien,long,n
Algrim / Kurse,MCU,Thor: The Dark World,22-Oct-13,bad,male,alien hero,short,n
Darcy Lewis,MCU,Thor: The Dark World,22-Oct-13,good,female,human,long,n
Erik Selvig,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
Eir,MCU,Thor: The Dark World,22-Oct-13,good,female,alien,long,n
Ian Boothby,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
Richard,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
Stan Lee,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,y
Bor,MCU,Thor: The Dark World,22-Oct-13,good,male,alien hero,short,y
The Collector,MCU,Thor: The Dark World,22-Oct-13,good,male,alien,short,n
Carina,MCU,Thor: The Dark World,22-Oct-13,good,female,alien,long,n
Einherjar,MCU,Thor: The Dark World,22-Oct-13,good,male,alien,short,n
Tyr,MCU,Thor: The Dark World,22-Oct-13,good,male,alien,short,y
John,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
Navid,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
Maddie,MCU,Thor: The Dark World,22-Oct-13,good,female,human,long,n
Steve Scott,MCU,Thor: The Dark World,22-Oct-13,good,male,human,short,n
