NAME 1,NAME 2
T'Challa / Black Panther,Erik Killmonger
T'Challa / Black Panther,Nakia
T'Challa / Black Panther,Okoye
T'Challa / Black Panther,Everett K. Ross
T'Challa / Black Panther,W'Kabi
T'Challa / Black Panther,Shuri
T'Challa / Black Panther,M'Baku
T'Challa / Black Panther,N'Jobu
T'Challa / Black Panther,Ramonda
T'Challa / Black Panther,Zuri
T'Challa / Black Panther,Ulysses Klaue
T'Challa / Black Panther,Ayo
T'Challa / Black Panther,T'Chaka
T'Challa / Black Panther,Young T'Chaka
T'Challa / Black Panther,Bucky Barnes
T'Challa / Black Panther,Limbani
T'Challa / Black Panther,Linda
T'Challa / Black Panther,Young T'Challa
T'Challa / Black Panther,James / Young Zuri
T'Challa / Black Panther,Griot
T'Challa / Black Panther,Stan Lee
Erik Killmonger,Nakia
Erik Killmonger,Okoye
Erik Killmonger,Everett K. Ross
Erik Killmonger,W'Kabi
Erik Killmonger,Shuri
Erik Killmonger,M'Baku
Erik Killmonger,N'Jobu
Erik Killmonger,Ramonda
Erik Killmonger,Zuri
Erik Killmonger,Ulysses Klaue
Erik Killmonger,Ayo
Erik Killmonger,T'Chaka
Erik Killmonger,Young T'Chaka
Erik Killmonger,Bucky Barnes
Erik Killmonger,Limbani
Erik Killmonger,Linda
Erik Killmonger,Young T'Challa
Erik Killmonger,James / Young Zuri
Erik Killmonger,Griot
Erik Killmonger,Stan Lee
Nakia,Okoye
Nakia,Everett K. Ross
Nakia,W'Kabi
Nakia,Shuri
Nakia,M'Baku
Nakia,N'Jobu
Nakia,Ramonda
Nakia,Zuri
Nakia,Ulysses Klaue
Nakia,Ayo
Nakia,T'Chaka
Nakia,Young T'Chaka
Nakia,Bucky Barnes
Nakia,Limbani
Nakia,Linda
Nakia,Young T'Challa
Nakia,James / Young Zuri
Nakia,Griot
Nakia,Stan Lee
Okoye,Everett K. Ross
Okoye,W'Kabi
Okoye,Shuri
Okoye,M'Baku
Okoye,N'Jobu
Okoye,Ramonda
Okoye,Zuri
Okoye,Ulysses Klaue
Okoye,Ayo
Okoye,T'Chaka
Okoye,Young T'Chaka
Okoye,Bucky Barnes
Okoye,Limbani
Okoye,Linda
Okoye,Young T'Challa
Okoye,James / Young Zuri
Okoye,Griot
Okoye,Stan Lee
Everett K. Ross,W'Kabi
Everett K. Ross,Shuri
