NAME 1,NAME 2
Steve Rogers / Captain America,Tony Stark / Iron Man
Steve Rogers / Captain America,Natasha Romanoff / Black Widow
Steve Rogers / Captain America,Bucky Barnes / Winter Soldier
Steve Rogers / Captain America,Sam Wilson / Falcon
Steve Rogers / Captain America,James Rhodes / War Machine
Steve Rogers / Captain America,Clint Barton / Hawkeye
Steve Rogers / Captain America,T'Challa / Black Panther
Steve Rogers / Captain America,Vision
Steve Rogers / Captain America,Wanda Maximoff / Scarlet Witch
Steve Rogers / Captain America,Scott Lang / Ant-Man
Steve Rogers / Captain America,Sharon Carter
Steve Rogers / Captain America,Peter Parker / Spider-Man
Steve Rogers / Captain America,Zemo
Steve Rogers / Captain America,Brock Rumlow / Crossbones
Steve Rogers / Captain America,Thaddeus Ross
Steve Rogers / Captain America,Everett K. Ross
Steve Rogers / Captain America,May Parker
Steve Rogers / Captain America,T'Chaka
Steve Rogers / Captain America,Howard Stark
Steve Rogers / Captain America,Maria Stark
Steve Rogers / Captain America,Miriam
Steve Rogers / Captain America,Karpov
Steve Rogers / Captain America,Friday
Steve Rogers / Captain America,Josef
Steve Rogers / Captain America,Stan Lee
Tony Stark / Iron Man,Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Bucky Barnes / Winter Soldier
Tony Stark / Iron Man,Sam Wilson / Falcon
Tony Stark / Iron Man,James Rhodes / War Machine
Tony Stark / Iron Man,Clint Barton / Hawkeye
Tony Stark / Iron Man,T'Challa / Black Panther
Tony Stark / Iron Man,Vision
Tony Stark / Iron Man,Wanda Maximoff / Scarlet Witch
Tony Stark / Iron Man,Scott Lang / Ant-Man
Tony Stark / Iron Man,Sharon Carter
Tony Stark / Iron Man,Peter Parker / Spider-Man
Tony Stark / Iron Man,Zemo
Tony Stark / Iron Man,Brock Rumlow / Crossbones
Tony Stark / Iron Man,Thaddeus Ross
Tony Stark / Iron Man,Everett K. Ross
Tony Stark / Iron Man,May Parker
Tony Stark / Iron Man,T'Chaka
Tony Stark / Iron Man,Howard Stark
Tony Stark / Iron Man,Maria Stark
Tony Stark / Iron Man,Miriam
Tony Stark / Iron Man,Karpov
Tony Stark / Iron Man,Friday
