NAME 1,NAME 2
Steve Rogers / Captain America,Peggy Carter
Steve Rogers / Captain America,Bucky Barnes / Winter Soldier
Steve Rogers / Captain America,Colonel Chester Phillips
Steve Rogers / Captain America,Johann Schmidt / Red Skull
Steve Rogers / Captain America,Howard Stark
Steve Rogers / Captain America,Heinz Kruger
Steve Rogers / Captain America,Dr. Abraham Erskine
Steve Rogers / Captain America,Nick Fury
Steve Rogers / Captain America,Dr. Arnim Zola
Steve Rogers / Captain America,Timothy 'Dum Dum' Dugan
Steve Rogers / Captain America,Gabe Jones
Steve Rogers / Captain America,Jim Morita
Steve Rogers / Captain America,James Montgomery Falsworth
Steve Rogers / Captain America,Jacques Dernier
Steve Rogers / Captain America,Gilmore Hodge
Steve Rogers / Captain America,Senator Brandt
Steve Rogers / Captain America,Pvt. Lorraine
Steve Rogers / Captain America,Roeder
Steve Rogers / Captain America,Hutter
Steve Rogers / Captain America,Schneider
Steve Rogers / Captain America,Jan
Steve Rogers / Captain America,Connie
Steve Rogers / Captain America,Bonnie
Steve Rogers / Captain America,Adolph Hitler
Steve Rogers / Captain America,Stan Lee
Peggy Carter,Bucky Barnes / Winter Soldier
Peggy Carter,Colonel Chester Phillips
Peggy Carter,Johann Schmidt / Red Skull
Peggy Carter,Howard Stark
Peggy Carter,Heinz Kruger
Peggy Carter,Dr. Abraham Erskine
Peggy Carter,Nick Fury
Peggy Carter,Dr. Arnim Zola
Peggy Carter,Timothy 'Dum Dum' Dugan
Peggy Carter,Gabe Jones
Peggy Carter,Jim Morita
Peggy Carter,James Montgomery Falsworth
Peggy Carter,Jacques Dernier
Peggy Carter,Gilmore Hodge
Peggy Carter,Senator Brandt
Peggy Carter,Pvt. Lorraine
Peggy Carter,Roeder
Peggy Carter,Hutter
Peggy Carter,Schneider
Peggy Carter,Jan
Peggy Carter,Connie
Peggy Carter,Bonnie
Peggy Carter,Adolph Hitler
Peggy Carter,Stan Lee
Bucky Barnes / Winter Soldier,Colonel Chester Phillips
Bucky Barnes / Winter Soldier,Johann Schmidt / Red Skull
Bucky Barnes / Winter Soldier,Howard Stark
Bucky Barnes / Winter Soldier,Heinz Kruger
Bucky Barnes / Winter Soldier,Dr. Abraham Erskine
Bucky Barnes / Winter Soldier,Nick Fury
Bucky Barnes / Winter Soldier,Dr. Arnim Zola
Bucky Barnes / Winter Soldier,Timothy 'Dum Dum' Dugan
Bucky Barnes / Winter Soldier,Gabe Jones
Bucky Barnes / Winter Soldier,Jim Morita
Bucky Barnes / Winter Soldier,James Montgomery Falsworth
Bucky Barnes / Winter Soldier,Jacques Dernier
Bucky Barnes / Winter Soldier,Gilmore Hodge
Bucky Barnes / Winter Soldier,Senator Brandt
Bucky Barnes / Winter Soldier,Pvt. Lorraine
Bucky Barnes / Winter Soldier,Roeder
Bucky Barnes / Winter Soldier,Hutter
Bucky Barnes / Winter Soldier,Schneider
Bucky Barnes / Winter Soldier,Jan
Bucky Barnes / Winter Soldier,Connie
Bucky Barnes / Winter Soldier,Bonnie
Bucky Barnes / Winter Soldier,Adolph Hitler
Bucky Barnes / Winter Soldier,Stan Lee
Colonel Chester Phillips,Johann Schmidt / Red Skull
Colonel Chester Phillips,Howard Stark
Colonel Chester Phillips,Heinz Kruger
Colonel Chester Phillips,Dr. Abraham Erskine
Colonel Chester Phillips,Nick Fury
Colonel Chester Phillips,Dr. Arnim Zola
Colonel Chester Phillips,Timothy 'Dum Dum' Dugan
Colonel Chester Phillips,Gabe Jones
Colonel Chester Phillips,Jim Morita
Colonel Chester Phillips,James Montgomery Falsworth
Colonel Chester Phillips,Jacques Dernier
Colonel Chester Phillips,Gilmore Hodge
Colonel Chester Phillips,Senator Brandt
Colonel Chester Phillips,Pvt. Lorraine
Colonel Chester Phillips,Roeder
Colonel Chester Phillips,Hutter
Colonel Chester Phillips,Schneider
Colonel Chester Phillips,Jan
Colonel Chester Phillips,Connie
Colonel Chester Phillips,Bonnie
