NAME 1,NAME 2
Steve Rogers / Captain America,Nick Fury
Steve Rogers / Captain America,Natasha Romanoff / Black Widow
Steve Rogers / Captain America,Alexander Pierce
Steve Rogers / Captain America,Bucky Barnes / Winter Soldier
Steve Rogers / Captain America,Sam Wilson / Falcon
Steve Rogers / Captain America,Maria Hill
Steve Rogers / Captain America,Brock Rumlow
Steve Rogers / Captain America,Jasper Sitwell
Steve Rogers / Captain America,Sharon Carter
Steve Rogers / Captain America,Peggy Carter
Steve Rogers / Captain America,Dr. Arnim Zola
Steve Rogers / Captain America,Jack Rollins
Steve Rogers / Captain America,Councilwoman Hawley
Steve Rogers / Captain America,Councilman Singh
Steve Rogers / Captain America,Councilman Rockwell
Steve Rogers / Captain America,Councilman Yen
Steve Rogers / Captain America,Senator Stern
Steve Rogers / Captain America,Georges Batroc
Steve Rogers / Captain America,Dr. List
Steve Rogers / Captain America,Baron Wolfgang von Strucker
Steve Rogers / Captain America,Specialist Cameron Klein
Steve Rogers / Captain America,Dr. Fine
Steve Rogers / Captain America,Renata
Steve Rogers / Captain America,Garcia
Steve Rogers / Captain America,Russo
Steve Rogers / Captain America,Scudder
Steve Rogers / Captain America,Stan Lee
Nick Fury,Natasha Romanoff / Black Widow
Nick Fury,Alexander Pierce
Nick Fury,Bucky Barnes / Winter Soldier
Nick Fury,Sam Wilson / Falcon
Nick Fury,Maria Hill
Nick Fury,Brock Rumlow
Nick Fury,Jasper Sitwell
Nick Fury,Sharon Carter
Nick Fury,Peggy Carter
Nick Fury,Dr. Arnim Zola
Nick Fury,Jack Rollins
Nick Fury,Councilwoman Hawley
Nick Fury,Councilman Singh
Nick Fury,Councilman Rockwell
Nick Fury,Councilman Yen
Nick Fury,Senator Stern
Nick Fury,Georges Batroc
Nick Fury,Dr. List
Nick Fury,Baron Wolfgang von Strucker
Nick Fury,Specialist Cameron Klein
Nick Fury,Dr. Fine
Nick Fury,Renata
Nick Fury,Garcia
Nick Fury,Russo
Nick Fury,Scudder
Nick Fury,Stan Lee
Natasha Romanoff / Black Widow,Alexander Pierce
Natasha Romanoff / Black Widow,Bucky Barnes / Winter Soldier
Natasha Romanoff / Black Widow,Sam Wilson / Falcon
Natasha Romanoff / Black Widow,Maria Hill
Natasha Romanoff / Black Widow,Brock Rumlow
Natasha Romanoff / Black Widow,Jasper Sitwell
Natasha Romanoff / Black Widow,Sharon Carter
Natasha Romanoff / Black Widow,Peggy Carter
Natasha Romanoff / Black Widow,Dr. Arnim Zola
Natasha Romanoff / Black Widow,Jack Rollins
Natasha Romanoff / Black Widow,Councilwoman Hawley
Natasha Romanoff / Black Widow,Councilman Singh
Natasha Romanoff / Black Widow,Councilman Rockwell
Natasha Romanoff / Black Widow,Councilman Yen
Natasha Romanoff / Black Widow,Senator Stern
Natasha Romanoff / Black Widow,Georges Batroc
Natasha Romanoff / Black Widow,Dr. List
Natasha Romanoff / Black Widow,Baron Wolfgang von Strucker
Natasha Romanoff / Black Widow,Specialist Cameron Klein
Natasha Romanoff / Black Widow,Dr. Fine
Natasha Romanoff / Black Widow,Renata
Natasha Romanoff / Black Widow,Garcia
Natasha Romanoff / Black Widow,Russo
Natasha Romanoff / Black Widow,Scudder
Natasha Romanoff / Black Widow,Stan Lee
Alexander Pierce,Bucky Barnes / Winter Soldier
Alexander Pierce,Sam Wilson / Falcon
Alexander Pierce,Maria Hill
Alexander Pierce,Brock Rumlow
Alexander Pierce,Jasper Sitwell
Alexander Pierce,Sharon Carter
Alexander Pierce,Peggy Carter
Alexander Pierce,Dr. Arnim Zola
Alexander Pierce,Jack Rollins
Alexander Pierce,Councilwoman Hawley
Alexander Pierce,Councilman Singh
Alexander Pierce,Councilman Rockwell
Alexander Pierce,Councilman Yen
Alexander Pierce,Senator Stern
Alexander Pierce,Georges Batroc
Alexander Pierce,Dr. List
Alexander Pierce,Baron Wolfgang von Strucker
Alexander Pierce,Specialist Cameron Klein
Alexander Pierce,Dr. Fine
Alexander Pierce,Renata
Alexander Pierce,Garcia
Alexander Pierce,Russo
Alexander Pierce,Scudder
Alexander Pierce,Stan Lee
Bucky Barnes / Winter Soldier,Sam Wilson / Falcon
Bucky Barnes / Winter Soldier,Maria Hill
Bucky Barnes / Winter Soldier,Brock Rumlow
Bucky Barnes / Winter Soldier,Jasper Sitwell
Bucky Barnes / Winter Soldier,Sharon Carter
Bucky Barnes / Winter Soldier,Peggy Carter
Bucky Barnes / Winter Soldier,Dr. Arnim Zola
Bucky Barnes / Winter Soldier,Jack Rollins
Bucky Barnes / Winter Soldier,Councilwoman Hawley
Bucky Barnes / Winter Soldier,Councilman Singh
Bucky Barnes / Winter Soldier,Councilman Rockwell
Bucky Barnes / Winter Soldier,Councilman Yen
Bucky Barnes / Winter Soldier,Senator Stern
Bucky Barnes / Winter Soldier,Georges Batroc
Bucky Barnes / Winter Soldier,Dr. List
Bucky Barnes / Winter Soldier,Baron Wolfgang von Strucker
Bucky Barnes / Winter Soldier,Specialist Cameron Klein
Bucky Barnes / Winter Soldier,Dr. Fine
Bucky Barnes / Winter Soldier,Renata
Bucky Barnes / Winter Soldier,Garcia
Bucky Barnes / Winter Soldier,Russo
Bucky Barnes / Winter Soldier,Scudder
