NAME 1,NAME 2
Peter Quill / Star-Lord,Gamora
Peter Quill / Star-Lord,Drax
Peter Quill / Star-Lord,Groot
Peter Quill / Star-Lord,Rocket
Peter Quill / Star-Lord,Yondu Udonta
Peter Quill / Star-Lord,Nebula
Peter Quill / Star-Lord,Mantis
Peter Quill / Star-Lord,Stakar Ogord
Peter Quill / Star-Lord,Ego
Peter Quill / Star-Lord,Ayesha
Peter Quill / Star-Lord,Taserface
Peter Quill / Star-Lord,Kraglin
Peter Quill / Star-Lord,Tullk
Peter Quill / Star-Lord,Meredith Quill
Peter Quill / Star-Lord,Halfnut
Peter Quill / Star-Lord,Brahl
Peter Quill / Star-Lord,Howard the Duck
Peter Quill / Star-Lord,Martinex
Peter Quill / Star-Lord,Grandpa Quill
Peter Quill / Star-Lord,Charlie-27
Peter Quill / Star-Lord,Aleta Ogord
Peter Quill / Star-Lord,Zylak
Peter Quill / Star-Lord,Retch
Peter Quill / Star-Lord,Oblo
Peter Quill / Star-Lord,Narblik
Peter Quill / Star-Lord,Gef
Peter Quill / Star-Lord,Huhtar
Peter Quill / Star-Lord,Stan Lee
Gamora,Drax
Gamora,Groot
Gamora,Rocket
Gamora,Yondu Udonta
Gamora,Nebula
Gamora,Mantis
Gamora,Stakar Ogord
Gamora,Ego
Gamora,Ayesha
Gamora,Taserface
Gamora,Kraglin
Gamora,Tullk
Gamora,Meredith Quill
Gamora,Halfnut
Gamora,Brahl
Gamora,Howard the Duck
Gamora,Martinex
Gamora,Grandpa Quill
Gamora,Charlie-27
Gamora,Aleta Ogord
Gamora,Zylak
Gamora,Retch
Gamora,Oblo
Gamora,Narblik
Gamora,Gef
Gamora,Huhtar
Gamora,Stan Lee
Drax,Groot
Drax,Rocket
Drax,Yondu Udonta
Drax,Nebula
Drax,Mantis
Drax,Stakar Ogord
Drax,Ego
Drax,Ayesha
Drax,Taserface
Drax,Kraglin
Drax,Tullk
Drax,Meredith Quill
Drax,Halfnut
Drax,Brahl
Drax,Howard the Duck
Drax,Martinex
Drax,Grandpa Quill
Drax,Charlie-27
Drax,Aleta Ogord
Drax,Zylak
Drax,Retch
Drax,Oblo
Drax,Narblik
Drax,Gef
Drax,Huhtar
Drax,Stan Lee
Groot,Rocket
Groot,Yondu Udonta
Groot,Nebula
Groot,Mantis
Groot,Stakar Ogord
Groot,Ego
Groot,Ayesha
Groot,Taserface
Groot,Kraglin
Groot,Tullk
Groot,Meredith Quill
Groot,Halfnut
Groot,Brahl
Groot,Howard the Duck
Groot,Martinex
Groot,Grandpa Quill
Groot,Charlie-27
Groot,Aleta Ogord
Groot,Zylak
Groot,Retch
Groot,Oblo
Groot,Narblik
Groot,Gef
Groot,Huhtar
Groot,Stan Lee
Rocket,Yondu Udonta
Rocket,Nebula
Rocket,Mantis
Rocket,Stakar Ogord
Rocket,Ego
Rocket,Ayesha
Rocket,Taserface
Rocket,Kraglin
Rocket,Tullk
Rocket,Meredith Quill
Rocket,Halfnut
Rocket,Brahl
Rocket,Howard the Duck
Rocket,Martinex
Rocket,Grandpa Quill
Rocket,Charlie-27
Rocket,Aleta Ogord
Rocket,Zylak
Rocket,Retch
Rocket,Oblo
Rocket,Narblik
Rocket,Gef
Rocket,Huhtar
Rocket,Stan Lee
Yondu Udonta,Nebula
Yondu Udonta,Mantis
Yondu Udonta,Stakar Ogord
Yondu Udonta,Ego
Yondu Udonta,Ayesha
Yondu Udonta,Taserface
Yondu Udonta,Kraglin
Yondu Udonta,Tullk
Yondu Udonta,Meredith Quill
Yondu Udonta,Halfnut
Yondu Udonta,Brahl
Yondu Udonta,Howard the Duck
Yondu Udonta,Martinex
Yondu Udonta,Grandpa Quill
Yondu Udonta,Charlie-27
Yondu Udonta,Aleta Ogord
Yondu Udonta,Zylak
Yondu Udonta,Retch
Yondu Udonta,Oblo
Yondu Udonta,Narblik
Yondu Udonta,Gef
Yondu Udonta,Huhtar
Yondu Udonta,Stan Lee
Nebula,Mantis
Nebula,Stakar Ogord
Nebula,Ego
Nebula,Ayesha
Nebula,Taserface
Nebula,Kraglin
Nebula,Tullk
Nebula,Meredith Quill
Nebula,Halfnut
Nebula,Brahl
Nebula,Howard the Duck
Nebula,Martinex
Nebula,Grandpa Quill
Nebula,Charlie-27
Nebula,Aleta Ogord
Nebula,Zylak
Nebula,Retch
Nebula,Oblo
Nebula,Narblik
Nebula,Gef
Nebula,Huhtar
Nebula,Stan Lee
Mantis,Stakar Ogord
Mantis,Ego
Mantis,Ayesha
Mantis,Taserface
Mantis,Kraglin
Mantis,Tullk
Mantis,Meredith Quill
Mantis,Halfnut
Mantis,Brahl
Mantis,Howard the Duck
Mantis,Martinex
Mantis,Grandpa Quill
Mantis,Charlie-27
Mantis,Aleta Ogord
Mantis,Zylak
Mantis,Retch
Mantis,Oblo
Mantis,Narblik
Mantis,Gef
Mantis,Huhtar
Mantis,Stan Lee
Stakar Ogord,Ego
Stakar Ogord,Ayesha
Stakar Ogord,Taserface
Stakar Ogord,Kraglin
Stakar Ogord,Tullk
Stakar Ogord,Meredith Quill
Stakar Ogord,Halfnut
Stakar Ogord,Brahl
Stakar Ogord,Howard the Duck
Stakar Ogord,Martinex
Stakar Ogord,Grandpa Quill
Stakar Ogord,Charlie-27
Stakar Ogord,Aleta Ogord
Stakar Ogord,Zylak
Stakar Ogord,Retch
Stakar Ogord,Oblo
Stakar Ogord,Narblik
Stakar Ogord,Gef
Stakar Ogord,Huhtar
Stakar Ogord,Stan Lee
Ego,Ayesha
Ego,Taserface
Ego,Kraglin
Ego,Tullk
Ego,Meredith Quill
Ego,Halfnut
Ego,Brahl
Ego,Howard the Duck
Ego,Martinex
Ego,Grandpa Quill
Ego,Charlie-27
Ego,Aleta Ogord
Ego,Zylak
Ego,Retch
Ego,Oblo
Ego,Narblik
Ego,Gef
Ego,Huhtar
Ego,Stan Lee
Ayesha,Taserface
Ayesha,Kraglin
Ayesha,Tullk
Ayesha,Meredith Quill
Ayesha,Halfnut
Ayesha,Brahl
Ayesha,Howard the Duck
