NAME 1,NAME 2
Bruce Banner / Hulk,Betty Ross
Bruce Banner / Hulk,Emil Blonsky
Bruce Banner / Hulk,Thaddeus Ross
Bruce Banner / Hulk,Samuel Sterns
Bruce Banner / Hulk,Leonard
Bruce Banner / Hulk,Major Kathleen Sparr
Bruce Banner / Hulk,Stanley
Bruce Banner / Hulk,Tony Stark / Iron Man
Bruce Banner / Hulk,General Joe Greller
Bruce Banner / Hulk,Martina
Bruce Banner / Hulk,McGee
Bruce Banner / Hulk,Wilson
Bruce Banner / Hulk,Stan Lee
Betty Ross,Emil Blonsky
Betty Ross,Thaddeus Ross
Betty Ross,Samuel Sterns
Betty Ross,Leonard
Betty Ross,Major Kathleen Sparr
Betty Ross,Stanley
Betty Ross,Tony Stark / Iron Man
Betty Ross,General Joe Greller
Betty Ross,Martina
Betty Ross,McGee
Betty Ross,Wilson
Betty Ross,Stan Lee
Emil Blonsky,Thaddeus Ross
Emil Blonsky,Samuel Sterns
Emil Blonsky,Leonard
Emil Blonsky,Major Kathleen Sparr
Emil Blonsky,Stanley
Emil Blonsky,Tony Stark / Iron Man
Emil Blonsky,General Joe Greller
Emil Blonsky,Martina
Emil Blonsky,McGee
Emil Blonsky,Wilson
Emil Blonsky,Stan Lee
Thaddeus Ross,Samuel Sterns
Thaddeus Ross,Leonard
Thaddeus Ross,Major Kathleen Sparr
Thaddeus Ross,Stanley
Thaddeus Ross,Tony Stark / Iron Man
Thaddeus Ross,General Joe Greller
Thaddeus Ross,Martina
Thaddeus Ross,McGee
Thaddeus Ross,Wilson
Thaddeus Ross,Stan Lee
Samuel Sterns,Leonard
Samuel Sterns,Major Kathleen Sparr
Samuel Sterns,Stanley
Samuel Sterns,Tony Stark / Iron Man
Samuel Sterns,General Joe Greller
Samuel Sterns,Martina
Samuel Sterns,McGee
Samuel Sterns,Wilson
Samuel Sterns,Stan Lee
Leonard,Major Kathleen Sparr
Leonard,Stanley
Leonard,Tony Stark / Iron Man
Leonard,General Joe Greller
Leonard,Martina
Leonard,McGee
Leonard,Wilson
Leonard,Stan Lee
Major Kathleen Sparr,Stanley
Major Kathleen Sparr,Tony Stark / Iron Man
Major Kathleen Sparr,General Joe Greller
Major Kathleen Sparr,Martina
Major Kathleen Sparr,McGee
Major Kathleen Sparr,Wilson
Major Kathleen Sparr,Stan Lee
Stanley,Tony Stark / Iron Man
Stanley,General Joe Greller
Stanley,Martina
Stanley,McGee
Stanley,Wilson
Stanley,Stan Lee
Tony Stark / Iron Man,General Joe Greller
Tony Stark / Iron Man,Martina
Tony Stark / Iron Man,McGee
Tony Stark / Iron Man,Wilson
Tony Stark / Iron Man,Stan Lee
General Joe Greller,Martina
General Joe Greller,McGee
General Joe Greller,Wilson
General Joe Greller,Stan Lee
Martina,McGee
Martina,Wilson
Martina,Stan Lee
McGee,Wilson
McGee,Stan Lee
Wilson,Stan Lee
