NAME 1,NAME 2
Thor,Jane Foster
Thor,Loki
Thor,Odin
Thor,Erik Selvig
Thor,Darcy Lewis
Thor,Agent Phil Coulson
Thor,King Laufey
Thor,Heimdall
Thor,Volstagg
Thor,Hogun
Thor,Fandral
Thor,Sif
Thor,Frigga
Thor,Agent Jasper Sitwell
Thor,Agent Jackson
Thor,Agent Garrett
Thor,Agent Cale
Thor,Stan Lee
Thor,Nick Fury
Thor,Clint Barton / Hawkeye
Thor,Isabela Alvarez
Thor,Agent Delancey
Thor,Pete
Jane Foster,Loki
Jane Foster,Odin
Jane Foster,Erik Selvig
Jane Foster,Darcy Lewis
Jane Foster,Agent Phil Coulson
Jane Foster,King Laufey
Jane Foster,Heimdall
Jane Foster,Volstagg
Jane Foster,Hogun
Jane Foster,Fandral
Jane Foster,Sif
Jane Foster,Frigga
Jane Foster,Agent Jasper Sitwell
Jane Foster,Agent Jackson
Jane Foster,Agent Garrett
Jane Foster,Agent Cale
Jane Foster,Stan Lee
Jane Foster,Nick Fury
Jane Foster,Clint Barton / Hawkeye
Jane Foster,Isabela Alvarez
Jane Foster,Agent Delancey
Jane Foster,Pete
Loki,Odin
Loki,Erik Selvig
Loki,Darcy Lewis
Loki,Agent Phil Coulson
Loki,King Laufey
Loki,Heimdall
Loki,Volstagg
Loki,Hogun
Loki,Fandral
Loki,Sif
Loki,Frigga
Loki,Agent Jasper Sitwell
Loki,Agent Jackson
Loki,Agent Garrett
Loki,Agent Cale
Loki,Stan Lee
Loki,Nick Fury
Loki,Clint Barton / Hawkeye
Loki,Isabela Alvarez
Loki,Agent Delancey
Loki,Pete
Odin,Erik Selvig
Odin,Darcy Lewis
Odin,Agent Phil Coulson
Odin,King Laufey
Odin,Heimdall
Odin,Volstagg
Odin,Hogun
Odin,Fandral
Odin,Sif
Odin,Frigga
Odin,Agent Jasper Sitwell
Odin,Agent Jackson
Odin,Agent Garrett
Odin,Agent Cale
Odin,Stan Lee
Odin,Nick Fury
Odin,Clint Barton / Hawkeye
Odin,Isabela Alvarez
Odin,Agent Delancey
Odin,Pete
Erik Selvig,Darcy Lewis
