CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Arthur Curry / Aquaman,DC,Aquaman,14-Dec-18,good,male,superhero,long,y
Mera,DC,Aquaman,14-Dec-18,good,female,superhero,long,n
Queen Atlanna,DC,Aquaman,14-Dec-18,good,female,superhero,long,n
Orm / Ocean Master,DC,Aquaman,14-Dec-18,change,male,superhero,short,n
Nuidis Vulko,DC,Aquaman,14-Dec-18,good,male,alien,short,n
David Kane / Black Manta,DC,Aquaman,14-Dec-18,bad,male,human hero,short,y
Thomas Curry,DC,Aquaman,14-Dec-18,good,male,human,short,n
King Nereus,DC,Aquaman,14-Dec-18,change,male,superhero,short,y
Dr. Stephen Shin,DC,Aquaman,14-Dec-18,bad,male,human,short,n
Jesse Kane,DC,Aquaman,14-Dec-18,bad,male,human,bald,y
Murk,DC,Aquaman,14-Dec-18,bad,male,alien,short,n
