CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Hal Jordan / Green Lantern,DC,Green Lantern,14-Jun-11,good,male,superhero,short,n
Carol Ferris,DC,Green Lantern,14-Jun-11,good,female,human,long,n
Hector Hammond,DC,Green Lantern,14-Jun-11,bad,male,superhero,bald,y
Sinestro,DC,Green Lantern,14-Jun-11,bad,male,alien hero,short,y
Hammond,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Tom Kalmaku,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Amanda Waller,DC,Green Lantern,14-Jun-11,change,female,human,short,n
Jack Jordan,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Jason Jordan,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Abin Sur,DC,Green Lantern,14-Jun-11,good,male,alien hero,bald,n
Tomar-Re,DC,Green Lantern,14-Jun-11,good,male,alien hero,bald,n
Kilowog,DC,Green Lantern,14-Jun-11,good,male,alien hero,bald,n
Parallax,DC,Green Lantern,14-Jun-11,bad,male,alien hero,NA,NA
Carl Ferris,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Jim Jordan,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Martin Jordan,DC,Green Lantern,14-Jun-11,good,male,human,short,n
Janice Jordan,DC,Green Lantern,14-Jun-11,good,female,human,long,n
Bob Banks,DC,Green Lantern,14-Jun-11,good,male,human,long,y
Four Star General Caven,DC,Green Lantern,14-Jun-11,good,male,human,bald,n
Jessica Jordan,DC,Green Lantern,14-Jun-11,good,female,human,short,n
