CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Batman / Bruce Wayne,DC,Justice League,13-Nov-17,good,male,human hero,short,y
Superman / Clark Kent,DC,Justice League,13-Nov-17,good,male,superhero,short,n
Lois Lane,DC,Justice League,13-Nov-17,good,female,human,short,n
Wonder Woman / Diana Prince,DC,Justice League,13-Nov-17,good,female,superhero,long,n
The Flash / Barry Allen,DC,Justice League,13-Nov-17,good,male,superhero,short,n
Arthur Curry / Aquaman,DC,Justice League,13-Nov-17,good,male,superhero,long,y
Cyborg / Victor Stone,DC,Justice League,13-Nov-17,good,male,human hero,short,n
Alfred,DC,Justice League,13-Nov-17,good,male,human,short,n
Martha Kent,DC,Justice League,13-Nov-17,good,female,human,long,n
Hippolyta,DC,Justice League,13-Nov-17,good,female,human hero,long,n
Jim Gordon,DC,Justice League,13-Nov-17,good,male,human,short,y
Steppenwolf,DC,Justice League,13-Nov-17,bad,male,superhero,short,n
Mera,DC,Justice League,13-Nov-17,good,female,superhero,long,n
Silas,DC,Justice League,13-Nov-17,good,male,human,short,n
Menalippe,DC,Justice League,13-Nov-17,good,female,human,long,n
Detective Crispus Allen,DC,Justice League,13-Nov-17,good,male,human,short,n
Philippus,DC,Justice League,13-Nov-17,good,male,human,long,n
Officer Ben Sadowsky,DC,Justice League,13-Nov-17,good,male,human,short,n
Elinore Stone,DC,Justice League,13-Nov-17,good,female,human,long,n
Henry Allen,DC,Justice League,13-Nov-17,good,male,human,short,n
Lex Luthor,DC,Justice League,13-Nov-17,bad,male,human hero,long,n
Mr. Wilson,DC,Justice League,13-Nov-17,bad,male,human,short,y
Ares,DC,Justice League,13-Nov-17,bad,male,superhero,long,y
Zeus,DC,Justice League,13-Nov-17,good,male,superhero,short,y
Venelia,DC,Justice League,13-Nov-17,good,female,human,long,n
Penthesilea,DC,Justice League,13-Nov-17,good,female,human,long,n
Trigona,DC,Justice League,13-Nov-17,good,female,human,long,n
Euboea,DC,Justice League,13-Nov-17,good,female,human,long,n
Howard the Janitor,DC,Justice League,13-Nov-17,good,male,human,short,n
Artemis,DC,Justice League,13-Nov-17,good,female,superhero,long,n
Garrett Bowman,DC,Justice League,13-Nov-17,good,male,human,short,n
