CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Wonder Woman / Diana Prince,DC,Wonder Woman,15-May-17,good,female,superhero,long,n
Steve Trevor,DC,Wonder Woman,15-May-17,good,male,human,short,n
Hippolyta,DC,Wonder Woman,15-May-17,good,female,human,long,n
Antiope,DC,Wonder Woman,15-May-17,good,female,human,long,n
Ludendorff,DC,Wonder Woman,15-May-17,bad,male,human,short,n
Ares,DC,Wonder Woman,15-May-17,bad,male,superhero,short,y
Sameer,DC,Wonder Woman,15-May-17,good,male,human,short,n
Charlie,DC,Wonder Woman,15-May-17,good,male,human,short,n
The Chief,DC,Wonder Woman,15-May-17,good,male,human,long,n
Etta,DC,Wonder Woman,15-May-17,good,female,human,short,n
Dr. Maru,DC,Wonder Woman,15-May-17,bad,female,human,short,n
Menalippe,DC,Wonder Woman,15-May-17,good,female,human,long,n
Artemis,DC,Wonder Woman,15-May-17,good,female,human,long,n
Philippus,DC,Wonder Woman,15-May-17,good,female,human,long,n
Fausta Grables,DC,Wonder Woman,15-May-17,bad,female,human,long,n
Venelia,DC,Wonder Woman,15-May-17,good,female,human,long,n
Euboea,DC,Wonder Woman,15-May-17,good,female,human,long,n
Penthiselea,DC,Wonder Woman,15-May-17,good,female,human,long,n
Orana,DC,Wonder Woman,15-May-17,good,female,human,long,n
Field Marshall Haig,DC,Wonder Woman,15-May-17,good,male,human,short,y
Kaiser Wilhelm II,DC,Wonder Woman,15-May-17,bad,male,human,short,n
Colonel Darnell,DC,Wonder Woman,15-May-17,good,male,human,short,y
Senator Timandra,DC,Wonder Woman,15-May-17,good,female,human,long,n
Senator Acantha,DC,Wonder Woman,15-May-17,good,female,human,long,n
Epione,DC,Wonder Woman,15-May-17,good,female,human,long,n
Mnemosyne,DC,Wonder Woman,15-May-17,good,female,human,long,n
Aella,DC,Wonder Woman,15-May-17,good,female,human,long,n
Egeria,DC,Wonder Woman,15-May-17,good,female,human,long,n
Trigona,DC,Wonder Woman,15-May-17,good,female,human,long,n
Niobe,DC,Wonder Woman,15-May-17,good,female,human,long,n
