CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Bruce Wayne,DC,The Dark Knight,14 July 2008
Joker,DC,The Dark Knight,14 July 2008
Harvey Dent,DC,The Dark Knight,14 July 2008
Alfred,DC,The Dark Knight,14 July 2008
Rachel,DC,The Dark Knight,14 July 2008
Gordon,DC,The Dark Knight,14 July 2008
Lucius Fox,DC,The Dark Knight,14 July 2008
Ramirez,DC,The Dark Knight,14 July 2008
Wuertz,DC,The Dark Knight,14 July 2008
Scarecrow,DC,The Dark Knight,14 July 2008
Lau,DC,The Dark Knight,14 July 2008
Mayor,DC,The Dark Knight,14 July 2008
Maroni,DC,The Dark Knight,14 July 2008
Chechen,DC,The Dark Knight,14 July 2008
Mike Engel,DC,The Dark Knight,14 July 2008
Stephens,DC,The Dark Knight,14 July 2008
Loeb,DC,The Dark Knight,14 July 2008
Reese,DC,The Dark Knight,14 July 2008
Barbara Gordon,DC,The Dark Knight,14 July 2008
"James Gordon, Jr.",DC,The Dark Knight,14 July 2008
Rossi,DC,The Dark Knight,14 July 2008
Dopey,DC,The Dark Knight,14 July 2008
Happy,DC,The Dark Knight,14 July 2008
Grumpy,DC,The Dark Knight,14 July 2008
Gambol,DC,The Dark Knight,14 July 2008
Chuckles,DC,The Dark Knight,14 July 2008
Bank Manager,DC,The Dark Knight,14 July 2008
Natascha,DC,The Dark Knight,14 July 2008
Judge Surrillo,DC,The Dark Knight,14 July 2008
Brian,DC,The Dark Knight,14 July 2008
Judge Freel,DC,The Dark Knight,14 July 2008
Maroni's Mistress,DC,The Dark Knight,14 July 2008
Murphy,DC,The Dark Knight,14 July 2008
Polk,DC,The Dark Knight,14 July 2008
Berg,DC,The Dark Knight,14 July 2008
Evans,DC,The Dark Knight,14 July 2008
Gordon's Daughter,DC,The Dark Knight,14 July 2008
