CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Bruce Wayne,DC,The Dark Knight Rises,16 July 2012
Commissioner Gordon,DC,The Dark Knight Rises,16 July 2012
Bane,DC,The Dark Knight Rises,16 July 2012
Blake,DC,The Dark Knight Rises,16 July 2012
Selina,DC,The Dark Knight Rises,16 July 2012
Miranda,DC,The Dark Knight Rises,16 July 2012
Fox,DC,The Dark Knight Rises,16 July 2012
Alfred,DC,The Dark Knight Rises,16 July 2012
Foley,DC,The Dark Knight Rises,16 July 2012
Dr. Pavel,DC,The Dark Knight Rises,16 July 2012
Daggett,DC,The Dark Knight Rises,16 July 2012
Stryver,DC,The Dark Knight Rises,16 July 2012
Captain Jones,DC,The Dark Knight Rises,16 July 2012
Allen,DC,The Dark Knight Rises,16 July 2012
Fredericks,DC,The Dark Knight Rises,16 July 2012
Barsad,DC,The Dark Knight Rises,16 July 2012
Ra's Al Ghul,DC,The Dark Knight Rises,16 July 2012
Dr. Jonathan Crane / Scarecrow,DC,The Dark Knight Rises,16 July 2012
Harvey Dent,DC,The Dark Knight Rises,16 July 2012
Ross,DC,The Dark Knight Rises,16 July 2012
Fr. Reilly,DC,The Dark Knight Rises,16 July 2012
Mark,DC,The Dark Knight Rises,16 July 2012
Jen,DC,The Dark Knight Rises,16 July 2012
Officer Simon Jansen,DC,The Dark Knight Rises,16 July 2012
President,DC,The Dark Knight Rises,16 July 2012
Young Ra's Al Ghul,DC,The Dark Knight Rises,16 July 2012
