NAME 1,NAME 2
Batman / Bruce Wayne,Superman / Clark Kent
Batman / Bruce Wayne,Lois Lane
Batman / Bruce Wayne,Wonder Woman / Diana Prince
Batman / Bruce Wayne,The Flash / Barry Allen
Batman / Bruce Wayne,Arthur Curry / Aquaman
Batman / Bruce Wayne,Cyborg / Victor Stone
Batman / Bruce Wayne,Alfred
Batman / Bruce Wayne,Martha Kent
Batman / Bruce Wayne,Hippolyta
Batman / Bruce Wayne,Jim Gordon
Batman / Bruce Wayne,Steppenwolf
Batman / Bruce Wayne,Mera
Batman / Bruce Wayne,Silas
Batman / Bruce Wayne,Menalippe
Batman / Bruce Wayne,Detective Crispus Allen
Batman / Bruce Wayne,Philippus
Batman / Bruce Wayne,Officer Ben Sadowsky
Batman / Bruce Wayne,Elinore Stone
Batman / Bruce Wayne,Henry Allen
Batman / Bruce Wayne,Lex Luthor
Batman / Bruce Wayne,Mr. Wilson
Batman / Bruce Wayne,Ares
Batman / Bruce Wayne,Zeus
Batman / Bruce Wayne,Venelia
Batman / Bruce Wayne,Penthesilea
Batman / Bruce Wayne,Trigona
Batman / Bruce Wayne,Euboea
Batman / Bruce Wayne,Howard the Janitor
Batman / Bruce Wayne,Artemis
Batman / Bruce Wayne,Garrett Bowman
Superman / Clark Kent,Lois Lane
Superman / Clark Kent,Wonder Woman / Diana Prince
Superman / Clark Kent,The Flash / Barry Allen
Superman / Clark Kent,Arthur Curry / Aquaman
Superman / Clark Kent,Cyborg / Victor Stone
Superman / Clark Kent,Alfred
Superman / Clark Kent,Martha Kent
Superman / Clark Kent,Hippolyta
Superman / Clark Kent,Jim Gordon
Superman / Clark Kent,Steppenwolf
Superman / Clark Kent,Mera
Superman / Clark Kent,Silas
Superman / Clark Kent,Menalippe
Superman / Clark Kent,Detective Crispus Allen
Superman / Clark Kent,Philippus
Superman / Clark Kent,Officer Ben Sadowsky
Superman / Clark Kent,Elinore Stone
Superman / Clark Kent,Henry Allen
Superman / Clark Kent,Lex Luthor
Superman / Clark Kent,Mr. Wilson
Superman / Clark Kent,Ares
Superman / Clark Kent,Zeus
Superman / Clark Kent,Venelia
Superman / Clark Kent,Penthesilea
Superman / Clark Kent,Trigona
Superman / Clark Kent,Euboea
Superman / Clark Kent,Howard the Janitor
Superman / Clark Kent,Artemis
Superman / Clark Kent,Garrett Bowman
Lois Lane,Wonder Woman / Diana Prince
Lois Lane,The Flash / Barry Allen
Lois Lane,Arthur Curry / Aquaman
Lois Lane,Cyborg / Victor Stone
Lois Lane,Alfred
Lois Lane,Martha Kent
Lois Lane,Hippolyta
Lois Lane,Jim Gordon
Lois Lane,Steppenwolf
Lois Lane,Mera
Lois Lane,Silas
Lois Lane,Menalippe
Lois Lane,Detective Crispus Allen
Lois Lane,Philippus
Lois Lane,Officer Ben Sadowsky
Lois Lane,Elinore Stone
Lois Lane,Henry Allen
Lois Lane,Lex Luthor
Lois Lane,Mr. Wilson
Lois Lane,Ares
Lois Lane,Zeus
Lois Lane,Venelia
Lois Lane,Penthesilea
Lois Lane,Trigona
Lois Lane,Euboea
Lois Lane,Howard the Janitor
Lois Lane,Artemis
Lois Lane,Garrett Bowman
Wonder Woman / Diana Prince,The Flash / Barry Allen
Wonder Woman / Diana Prince,Arthur Curry / Aquaman
Wonder Woman / Diana Prince,Cyborg / Victor Stone
Wonder Woman / Diana Prince,Alfred
Wonder Woman / Diana Prince,Martha Kent
Wonder Woman / Diana Prince,Hippolyta
Wonder Woman / Diana Prince,Jim Gordon
Wonder Woman / Diana Prince,Steppenwolf
Wonder Woman / Diana Prince,Mera
Wonder Woman / Diana Prince,Silas
Wonder Woman / Diana Prince,Menalippe
Wonder Woman / Diana Prince,Detective Crispus Allen
Wonder Woman / Diana Prince,Philippus
Wonder Woman / Diana Prince,Officer Ben Sadowsky
Wonder Woman / Diana Prince,Elinore Stone
Wonder Woman / Diana Prince,Henry Allen
Wonder Woman / Diana Prince,Lex Luthor
Wonder Woman / Diana Prince,Mr. Wilson
Wonder Woman / Diana Prince,Ares
Wonder Woman / Diana Prince,Zeus
Wonder Woman / Diana Prince,Venelia
Wonder Woman / Diana Prince,Penthesilea
Wonder Woman / Diana Prince,Trigona
Wonder Woman / Diana Prince,Euboea
Wonder Woman / Diana Prince,Howard the Janitor
Wonder Woman / Diana Prince,Artemis
Wonder Woman / Diana Prince,Garrett Bowman
The Flash / Barry Allen,Arthur Curry / Aquaman
The Flash / Barry Allen,Cyborg / Victor Stone
The Flash / Barry Allen,Alfred
The Flash / Barry Allen,Martha Kent
The Flash / Barry Allen,Hippolyta
The Flash / Barry Allen,Jim Gordon
The Flash / Barry Allen,Steppenwolf
The Flash / Barry Allen,Mera
The Flash / Barry Allen,Silas
The Flash / Barry Allen,Menalippe
The Flash / Barry Allen,Detective Crispus Allen
The Flash / Barry Allen,Philippus
The Flash / Barry Allen,Officer Ben Sadowsky
The Flash / Barry Allen,Elinore Stone
The Flash / Barry Allen,Henry Allen
The Flash / Barry Allen,Lex Luthor
The Flash / Barry Allen,Mr. Wilson
The Flash / Barry Allen,Ares
The Flash / Barry Allen,Zeus
The Flash / Barry Allen,Venelia
The Flash / Barry Allen,Penthesilea
The Flash / Barry Allen,Trigona
The Flash / Barry Allen,Euboea
The Flash / Barry Allen,Howard the Janitor
The Flash / Barry Allen,Artemis
The Flash / Barry Allen,Garrett Bowman
Arthur Curry / Aquaman,Cyborg / Victor Stone
Arthur Curry / Aquaman,Alfred
Arthur Curry / Aquaman,Martha Kent
Arthur Curry / Aquaman,Hippolyta
Arthur Curry / Aquaman,Jim Gordon
