NAME 1,NAME 2
Bruce Wayne / Batman,Joker
Bruce Wayne / Batman,Harvey Dent
Bruce Wayne / Batman,Alfred
Bruce Wayne / Batman,Rachel
Bruce Wayne / Batman,Commissioner Gordon
Bruce Wayne / Batman,Fox
Bruce Wayne / Batman,Ramirez
Bruce Wayne / Batman,Wuertz
Bruce Wayne / Batman,Dr. Jonathan Crane / Scarecrow
Bruce Wayne / Batman,Lau
Bruce Wayne / Batman,Maroni
Bruce Wayne / Batman,Chechen
Bruce Wayne / Batman,Mike Engel
Bruce Wayne / Batman,Stephens
Bruce Wayne / Batman,Loeb
Bruce Wayne / Batman,Reese
Bruce Wayne / Batman,Barbara Gordon
Bruce Wayne / Batman,"James Gordon, Jr."
Bruce Wayne / Batman,Rossi
Bruce Wayne / Batman,Dopey
Bruce Wayne / Batman,Happy
Bruce Wayne / Batman,Grumpy
Bruce Wayne / Batman,Gambol
Bruce Wayne / Batman,Chuckles
Bruce Wayne / Batman,Natascha
Bruce Wayne / Batman,Judge Surrillo
Bruce Wayne / Batman,Brian
Bruce Wayne / Batman,Judge Freel
Bruce Wayne / Batman,Murphy
Bruce Wayne / Batman,Polk
Bruce Wayne / Batman,Berg
Bruce Wayne / Batman,Evans
Joker,Harvey Dent
Joker,Alfred
Joker,Rachel
Joker,Commissioner Gordon
Joker,Fox
Joker,Ramirez
Joker,Wuertz
Joker,Dr. Jonathan Crane / Scarecrow
Joker,Lau
Joker,Maroni
Joker,Chechen
Joker,Mike Engel
Joker,Stephens
Joker,Loeb
Joker,Reese
Joker,Barbara Gordon
Joker,"James Gordon, Jr."
Joker,Rossi
Joker,Dopey
Joker,Happy
Joker,Grumpy
Joker,Gambol
Joker,Chuckles
Joker,Natascha
Joker,Judge Surrillo
Joker,Brian
Joker,Judge Freel
Joker,Murphy
Joker,Polk
Joker,Berg
Joker,Evans
Harvey Dent,Alfred
Harvey Dent,Rachel
Harvey Dent,Commissioner Gordon
Harvey Dent,Fox
Harvey Dent,Ramirez
Harvey Dent,Wuertz
Harvey Dent,Dr. Jonathan Crane / Scarecrow
Harvey Dent,Lau
Harvey Dent,Maroni
Harvey Dent,Chechen
Harvey Dent,Mike Engel
Harvey Dent,Stephens
Harvey Dent,Loeb
Harvey Dent,Reese
Harvey Dent,Barbara Gordon
Harvey Dent,"James Gordon, Jr."
Harvey Dent,Rossi
Harvey Dent,Dopey
Harvey Dent,Happy
Harvey Dent,Grumpy
Harvey Dent,Gambol
Harvey Dent,Chuckles
Harvey Dent,Natascha
Harvey Dent,Judge Surrillo
Harvey Dent,Brian
Harvey Dent,Judge Freel
Harvey Dent,Murphy
Harvey Dent,Polk
Harvey Dent,Berg
Harvey Dent,Evans
Alfred,Rachel
Alfred,Commissioner Gordon
Alfred,Fox
Alfred,Ramirez
Alfred,Wuertz
Alfred,Dr. Jonathan Crane / Scarecrow
Alfred,Lau
Alfred,Maroni
Alfred,Chechen
Alfred,Mike Engel
Alfred,Stephens
Alfred,Loeb
Alfred,Reese
Alfred,Barbara Gordon
Alfred,"James Gordon, Jr."
Alfred,Rossi
Alfred,Dopey
Alfred,Happy
Alfred,Grumpy
Alfred,Gambol
Alfred,Chuckles
Alfred,Natascha
Alfred,Judge Surrillo
Alfred,Brian
Alfred,Judge Freel
Alfred,Murphy
Alfred,Polk
Alfred,Berg
Alfred,Evans
Rachel,Commissioner Gordon
Rachel,Fox
Rachel,Ramirez
Rachel,Wuertz
Rachel,Dr. Jonathan Crane / Scarecrow
Rachel,Lau
Rachel,Maroni
Rachel,Chechen
Rachel,Mike Engel
Rachel,Stephens
Rachel,Loeb
Rachel,Reese
Rachel,Barbara Gordon
Rachel,"James Gordon, Jr."
Rachel,Rossi
Rachel,Dopey
Rachel,Happy
Rachel,Grumpy
Rachel,Gambol
Rachel,Chuckles
Rachel,Natascha
Rachel,Judge Surrillo
Rachel,Brian
Rachel,Judge Freel
Rachel,Murphy
Rachel,Polk
Rachel,Berg
Rachel,Evans
Commissioner Gordon,Fox
Commissioner Gordon,Ramirez
Commissioner Gordon,Wuertz
Commissioner Gordon,Dr. Jonathan Crane / Scarecrow
Commissioner Gordon,Lau
Commissioner Gordon,Maroni
Commissioner Gordon,Chechen
Commissioner Gordon,Mike Engel
Commissioner Gordon,Stephens
Commissioner Gordon,Loeb
Commissioner Gordon,Reese
Commissioner Gordon,Barbara Gordon
Commissioner Gordon,"James Gordon, Jr."
Commissioner Gordon,Rossi
Commissioner Gordon,Dopey
Commissioner Gordon,Happy
Commissioner Gordon,Grumpy
Commissioner Gordon,Gambol
Commissioner Gordon,Chuckles
Commissioner Gordon,Natascha
Commissioner Gordon,Judge Surrillo
Commissioner Gordon,Brian
Commissioner Gordon,Judge Freel
Commissioner Gordon,Murphy
Commissioner Gordon,Polk
Commissioner Gordon,Berg
Commissioner Gordon,Evans
Fox,Ramirez
Fox,Wuertz
Fox,Dr. Jonathan Crane / Scarecrow
Fox,Lau
Fox,Maroni
Fox,Chechen
Fox,Mike Engel
Fox,Stephens
Fox,Loeb
Fox,Reese
Fox,Barbara Gordon
Fox,"James Gordon, Jr."
Fox,Rossi
Fox,Dopey
Fox,Happy
Fox,Grumpy
Fox,Gambol
Fox,Chuckles
Fox,Natascha
Fox,Judge Surrillo
Fox,Brian
Fox,Judge Freel
Fox,Murphy
Fox,Polk
Fox,Berg
Fox,Evans
Ramirez,Wuertz
Ramirez,Dr. Jonathan Crane / Scarecrow
Ramirez,Lau
Ramirez,Maroni
Ramirez,Chechen
Ramirez,Mike Engel
Ramirez,Stephens
Ramirez,Loeb
Ramirez,Reese
Ramirez,Barbara Gordon
Ramirez,"James Gordon, Jr."
Ramirez,Rossi
Ramirez,Dopey
Ramirez,Happy
Ramirez,Grumpy
Ramirez,Gambol
