NAME 1,NAME 2
Hal Jordan / Green Lantern,Carol Ferris
Hal Jordan / Green Lantern,Hector Hammond
Hal Jordan / Green Lantern,Sinestro
Hal Jordan / Green Lantern,Hammond
Hal Jordan / Green Lantern,Tom Kalmaku
Hal Jordan / Green Lantern,Doctor Waller
Hal Jordan / Green Lantern,Jack Jordan
Hal Jordan / Green Lantern,Jason Jordan
Hal Jordan / Green Lantern,Abin Sur
Hal Jordan / Green Lantern,Tomar-Re
Hal Jordan / Green Lantern,Kilowog
Hal Jordan / Green Lantern,First Guardian
Hal Jordan / Green Lantern,Parallax
Hal Jordan / Green Lantern,Carl Ferris
Hal Jordan / Green Lantern,Jim Jordan
Hal Jordan / Green Lantern,Young Hal
Hal Jordan / Green Lantern,Martin Jordan
Hal Jordan / Green Lantern,Janice Jordan
Hal Jordan / Green Lantern,Bob Banks
Hal Jordan / Green Lantern,Young Carol
Hal Jordan / Green Lantern,Four Star General Caven
Hal Jordan / Green Lantern,Jessica Jordan
Hal Jordan / Green Lantern,Young Hector       (as John Kennon Keper)
Hal Jordan / Green Lantern,Young Jack Jordan       (as Brock Kaufman)
Hal Jordan / Green Lantern,Young Jim
Carol Ferris,Hector Hammond
Carol Ferris,Sinestro
Carol Ferris,Hammond
Carol Ferris,Tom Kalmaku
Carol Ferris,Doctor Waller
Carol Ferris,Jack Jordan
Carol Ferris,Jason Jordan
Carol Ferris,Abin Sur
Carol Ferris,Tomar-Re
Carol Ferris,Kilowog
Carol Ferris,First Guardian
Carol Ferris,Parallax
Carol Ferris,Carl Ferris
Carol Ferris,Jim Jordan
Carol Ferris,Young Hal
Carol Ferris,Martin Jordan
Carol Ferris,Janice Jordan
Carol Ferris,Bob Banks
Carol Ferris,Young Carol
Carol Ferris,Four Star General Caven
Carol Ferris,Jessica Jordan
Carol Ferris,Young Hector       (as John Kennon Keper)
Carol Ferris,Young Jack Jordan       (as Brock Kaufman)
Carol Ferris,Young Jim
Hector Hammond,Sinestro
Hector Hammond,Hammond
Hector Hammond,Tom Kalmaku
Hector Hammond,Doctor Waller
Hector Hammond,Jack Jordan
Hector Hammond,Jason Jordan
Hector Hammond,Abin Sur
Hector Hammond,Tomar-Re
Hector Hammond,Kilowog
Hector Hammond,First Guardian
Hector Hammond,Parallax
Hector Hammond,Carl Ferris
Hector Hammond,Jim Jordan
Hector Hammond,Young Hal
Hector Hammond,Martin Jordan
Hector Hammond,Janice Jordan
Hector Hammond,Bob Banks
Hector Hammond,Young Carol
Hector Hammond,Four Star General Caven
Hector Hammond,Jessica Jordan
Hector Hammond,Young Hector       (as John Kennon Keper)
Hector Hammond,Young Jack Jordan       (as Brock Kaufman)
Hector Hammond,Young Jim
Sinestro,Hammond
Sinestro,Tom Kalmaku
Sinestro,Doctor Waller
Sinestro,Jack Jordan
Sinestro,Jason Jordan
Sinestro,Abin Sur
Sinestro,Tomar-Re
Sinestro,Kilowog
Sinestro,First Guardian
Sinestro,Parallax
Sinestro,Carl Ferris
Sinestro,Jim Jordan
Sinestro,Young Hal
Sinestro,Martin Jordan
Sinestro,Janice Jordan
Sinestro,Bob Banks
Sinestro,Young Carol
Sinestro,Four Star General Caven
Sinestro,Jessica Jordan
Sinestro,Young Hector       (as John Kennon Keper)
Sinestro,Young Jack Jordan       (as Brock Kaufman)
Sinestro,Young Jim
Hammond,Tom Kalmaku
Hammond,Doctor Waller
Hammond,Jack Jordan
Hammond,Jason Jordan
Hammond,Abin Sur
Hammond,Tomar-Re
Hammond,Kilowog
Hammond,First Guardian
Hammond,Parallax
Hammond,Carl Ferris
Hammond,Jim Jordan
Hammond,Young Hal
Hammond,Martin Jordan
Hammond,Janice Jordan
Hammond,Bob Banks
Hammond,Young Carol
Hammond,Four Star General Caven
Hammond,Jessica Jordan
Hammond,Young Hector       (as John Kennon Keper)
Hammond,Young Jack Jordan       (as Brock Kaufman)
Hammond,Young Jim
Tom Kalmaku,Doctor Waller
Tom Kalmaku,Jack Jordan
Tom Kalmaku,Jason Jordan
Tom Kalmaku,Abin Sur
Tom Kalmaku,Tomar-Re
Tom Kalmaku,Kilowog
Tom Kalmaku,First Guardian
Tom Kalmaku,Parallax
Tom Kalmaku,Carl Ferris
Tom Kalmaku,Jim Jordan
Tom Kalmaku,Young Hal
Tom Kalmaku,Martin Jordan
Tom Kalmaku,Janice Jordan
Tom Kalmaku,Bob Banks
Tom Kalmaku,Young Carol
Tom Kalmaku,Four Star General Caven
Tom Kalmaku,Jessica Jordan
Tom Kalmaku,Young Hector       (as John Kennon Keper)
Tom Kalmaku,Young Jack Jordan       (as Brock Kaufman)
Tom Kalmaku,Young Jim
Doctor Waller,Jack Jordan
Doctor Waller,Jason Jordan
Doctor Waller,Abin Sur
Doctor Waller,Tomar-Re
Doctor Waller,Kilowog
Doctor Waller,First Guardian
Doctor Waller,Parallax
Doctor Waller,Carl Ferris
