CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,A Man Without Honor,13 May 2012
Cersei Lannister,GoT,A Man Without Honor,13 May 2012
Jaime Lannister,GoT,A Man Without Honor,13 May 2012
Catelyn Stark,GoT,A Man Without Honor,13 May 2012
Daenerys Targaryen,GoT,A Man Without Honor,13 May 2012
Jorah Mormont,GoT,A Man Without Honor,13 May 2012
Tywin Lannister,GoT,A Man Without Honor,13 May 2012
Sansa Stark,GoT,A Man Without Honor,13 May 2012
Arya Stark,GoT,A Man Without Honor,13 May 2012
Theon Greyjoy,GoT,A Man Without Honor,13 May 2012
Sandor 'The Hound' Clegane,GoT,A Man Without Honor,13 May 2012
Pyat Pree,GoT,A Man Without Honor,13 May 2012
Spice King,GoT,A Man Without Honor,13 May 2012
Xaro Xhoan Daxos,GoT,A Man Without Honor,13 May 2012
Ygritte,GoT,A Man Without Honor,13 May 2012
Brienne of Tarth,GoT,A Man Without Honor,13 May 2012
Talisa Maegyr,GoT,A Man Without Honor,13 May 2012
Quaithe,GoT,A Man Without Honor,13 May 2012
Alton Lannister,GoT,A Man Without Honor,13 May 2012
Black Lorren,GoT,A Man Without Honor,13 May 2012
Kovarro,GoT,A Man Without Honor,13 May 2012
Gregor 'The Mountain' Clegane,GoT,A Man Without Honor,13 May 2012
Silk King,GoT,A Man Without Honor,13 May 2012
Jon Snow,GoT,A Man Without Honor,13 May 2012
Bran Stark,GoT,A Man Without Honor,13 May 2012
Robb Stark,GoT,A Man Without Honor,13 May 2012
Shae,GoT,A Man Without Honor,13 May 2012
Maester Luwin,GoT,A Man Without Honor,13 May 2012
Osha,GoT,A Man Without Honor,13 May 2012
Roose Bolton,GoT,A Man Without Honor,13 May 2012
Dagmer Cleftjaw,GoT,A Man Without Honor,13 May 2012
Rickard Karstark,GoT,A Man Without Honor,13 May 2012
Hodor,GoT,A Man Without Honor,13 May 2012
Rickon Stark,GoT,A Man Without Honor,13 May 2012
Winterfell Shepherd,GoT,A Man Without Honor,13 May 2012
Bernadette,GoT,A Man Without Honor,13 May 2012
Theon's Master of Hounds,GoT,A Man Without Honor,13 May 2012
Torrhen Karstark,GoT,A Man Without Honor,13 May 2012
Farlen,GoT,A Man Without Honor,13 May 2012
Drennan,GoT,A Man Without Honor,13 May 2012
Jacks,GoT,A Man Without Honor,13 May 2012
Quent,GoT,A Man Without Honor,13 May 2012
