CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,And Now His Watch Is Ended,21 April 2013
Jaime Lannister,GoT,And Now His Watch Is Ended,21 April 2013
Cersei Lannister,GoT,And Now His Watch Is Ended,21 April 2013
Daenerys Targaryen,GoT,And Now His Watch Is Ended,21 April 2013
Jorah Mormont,GoT,And Now His Watch Is Ended,21 April 2013
Tywin Lannister,GoT,And Now His Watch Is Ended,21 April 2013
Margaery Tyrell,GoT,And Now His Watch Is Ended,21 April 2013
Theon Greyjoy,GoT,And Now His Watch Is Ended,21 April 2013
Bran Stark,GoT,And Now His Watch Is Ended,21 April 2013
Sansa Stark,GoT,And Now His Watch Is Ended,21 April 2013
Arya Stark,GoT,And Now His Watch Is Ended,21 April 2013
Samwell Tarly,GoT,And Now His Watch Is Ended,21 April 2013
Gendry,GoT,And Now His Watch Is Ended,21 April 2013
Joffrey Baratheon,GoT,And Now His Watch Is Ended,21 April 2013
Sandor 'The Hound' Clegane,GoT,And Now His Watch Is Ended,21 April 2013
Lord Varys,GoT,And Now His Watch Is Ended,21 April 2013
Jeor Mormont,GoT,And Now His Watch Is Ended,21 April 2013
Olenna Tyrell,GoT,And Now His Watch Is Ended,21 April 2013
Craster,GoT,And Now His Watch Is Ended,21 April 2013
Brienne of Tarth,GoT,And Now His Watch Is Ended,21 April 2013
Barristan Selmy,GoT,And Now His Watch Is Ended,21 April 2013
Thoros of Myr,GoT,And Now His Watch Is Ended,21 April 2013
Beric Dondarrion,GoT,And Now His Watch Is Ended,21 April 2013
Ramsay Snow,GoT,And Now His Watch Is Ended,21 April 2013
Gilly,GoT,And Now His Watch Is Ended,21 April 2013
Jojen Reed,GoT,And Now His Watch Is Ended,21 April 2013
Karl Tanner,GoT,And Now His Watch Is Ended,21 April 2013
Grenn,GoT,And Now His Watch Is Ended,21 April 2013
Eddison Tollett,GoT,And Now His Watch Is Ended,21 April 2013
Rast,GoT,And Now His Watch Is Ended,21 April 2013
Kraznys mo Nakloz,GoT,And Now His Watch Is Ended,21 April 2013
Missandei,GoT,And Now His Watch Is Ended,21 April 2013
Anguy,GoT,And Now His Watch Is Ended,21 April 2013
Greizhen mo Ullhor,GoT,And Now His Watch Is Ended,21 April 2013
Catelyn Stark,GoT,And Now His Watch Is Ended,21 April 2013
Locke,GoT,And Now His Watch Is Ended,21 April 2013
Ros,GoT,And Now His Watch Is Ended,21 April 2013
