CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Beyond the Wall,20 August 2017
Daenerys Targaryen,GoT,Beyond the Wall,20 August 2017
Jon Snow,GoT,Beyond the Wall,20 August 2017
Sansa Stark,GoT,Beyond the Wall,20 August 2017
Arya Stark,GoT,Beyond the Wall,20 August 2017
Brienne of Tarth,GoT,Beyond the Wall,20 August 2017
Sandor 'The Hound' Clegane,GoT,Beyond the Wall,20 August 2017
Tormund Giantsbane,GoT,Beyond the Wall,20 August 2017
Gendry,GoT,Beyond the Wall,20 August 2017
Jorah Mormont,GoT,Beyond the Wall,20 August 2017
Beric Dondarrion,GoT,Beyond the Wall,20 August 2017
Thoros of Myr,GoT,Beyond the Wall,20 August 2017
Benjen Stark,GoT,Beyond the Wall,20 August 2017
The Night King,GoT,Beyond the Wall,20 August 2017
Petyr 'Littlefinger' Baelish,GoT,Beyond the Wall,20 August 2017
Davos Seaworth,GoT,Beyond the Wall,20 August 2017
Maester Wolkan,GoT,Beyond the Wall,20 August 2017
