CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Blackwater,27 May 2012
Cersei Lannister,GoT,Blackwater,27 May 2012
Joffrey Baratheon,GoT,Blackwater,27 May 2012
Sansa Stark,GoT,Blackwater,27 May 2012
Sandor 'The Hound' Clegane,GoT,Blackwater,27 May 2012
Stannis Baratheon,GoT,Blackwater,27 May 2012
Bronn,GoT,Blackwater,27 May 2012
Lord Varys,GoT,Blackwater,27 May 2012
Shae,GoT,Blackwater,27 May 2012
Hallyne,GoT,Blackwater,27 May 2012
Grand Maester Pycelle,GoT,Blackwater,27 May 2012
Lancel Lannister,GoT,Blackwater,27 May 2012
Matthos Seaworth,GoT,Blackwater,27 May 2012
Armeca,GoT,Blackwater,27 May 2012
Podrick Payne,GoT,Blackwater,27 May 2012
Imry Florent,GoT,Blackwater,27 May 2012
Tywin Lannister,GoT,Blackwater,27 May 2012
Davos Seaworth,GoT,Blackwater,27 May 2012
Loras Tyrell,GoT,Blackwater,27 May 2012
Dontos Hollard,GoT,Blackwater,27 May 2012
Ilyn Payne,GoT,Blackwater,27 May 2012
Tommen Baratheon,GoT,Blackwater,27 May 2012
Mandon Moore,GoT,Blackwater,27 May 2012
