CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Jaime Lannister,GoT,Blood of My Blood,29 May 2016
Cersei Lannister,GoT,Blood of My Blood,29 May 2016
Daenerys Targaryen,GoT,Blood of My Blood,29 May 2016
Margaery Tyrell,GoT,Blood of My Blood,29 May 2016
Arya Stark,GoT,Blood of My Blood,29 May 2016
High Sparrow,GoT,Blood of My Blood,29 May 2016
Samwell Tarly,GoT,Blood of My Blood,29 May 2016
Bran Stark,GoT,Blood of My Blood,29 May 2016
Daario Naharis,GoT,Blood of My Blood,29 May 2016
Jaqen H'ghar,GoT,Blood of My Blood,29 May 2016
Tommen Baratheon,GoT,Blood of My Blood,29 May 2016
Gilly,GoT,Blood of My Blood,29 May 2016
Izembaro,GoT,Blood of My Blood,29 May 2016
Walder Frey,GoT,Blood of My Blood,29 May 2016
Lady Crane,GoT,Blood of My Blood,29 May 2016
Benjen Stark,GoT,Blood of My Blood,29 May 2016
Edmure Tully,GoT,Blood of My Blood,29 May 2016
Meera Reed,GoT,Blood of My Blood,29 May 2016
Septa Unella,GoT,Blood of My Blood,29 May 2016
Randyll Tarly,GoT,Blood of My Blood,29 May 2016
Melessa Tarly,GoT,Blood of My Blood,29 May 2016
Lancel Lannister,GoT,Blood of My Blood,29 May 2016
Lothar Frey,GoT,Blood of My Blood,29 May 2016
Bobono,GoT,Blood of My Blood,29 May 2016
Aerys Targaryen,GoT,Blood of My Blood,29 May 2016
Dickon Tarly,GoT,Blood of My Blood,29 May 2016
Talla Tarly,GoT,Blood of My Blood,29 May 2016
Olenna Tyrell,GoT,Blood of My Blood,29 May 2016
The Waif,GoT,Blood of My Blood,29 May 2016
Mace Tyrell,GoT,Blood of My Blood,29 May 2016
Kevan Lannister,GoT,Blood of My Blood,29 May 2016
Black Walder Rivers,GoT,Blood of My Blood,29 May 2016
Camello,GoT,Blood of My Blood,29 May 2016
Bianca,GoT,Blood of My Blood,29 May 2016
Clarenzo,GoT,Blood of My Blood,29 May 2016
Margaery Tyrell Mummer,GoT,Blood of My Blood,29 May 2016
Tyrell Bannerman,GoT,Blood of My Blood,29 May 2016
Lady Kitty Frey,GoT,Blood of My Blood,29 May 2016
