CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Breaker of Chains,20 April 2014
Jaime Lannister,GoT,Breaker of Chains,20 April 2014
Cersei Lannister,GoT,Breaker of Chains,20 April 2014
Daenerys Targaryen,GoT,Breaker of Chains,20 April 2014
Jon Snow,GoT,Breaker of Chains,20 April 2014
Petyr 'Littlefinger' Baelish,GoT,Breaker of Chains,20 April 2014
Tywin Lannister,GoT,Breaker of Chains,20 April 2014
Margaery Tyrell,GoT,Breaker of Chains,20 April 2014
Joffrey Baratheon,GoT,Breaker of Chains,20 April 2014
Sansa Stark,GoT,Breaker of Chains,20 April 2014
Arya Stark,GoT,Breaker of Chains,20 April 2014
Sandor 'The Hound' Clegane,GoT,Breaker of Chains,20 April 2014
Tormund Giantsbane,GoT,Breaker of Chains,20 April 2014
Jorah Mormont,GoT,Breaker of Chains,20 April 2014
Olenna Tyrell,GoT,Breaker of Chains,20 April 2014
Oberyn Martell,GoT,Breaker of Chains,20 April 2014
Daario Naharis,GoT,Breaker of Chains,20 April 2014
Styr,GoT,Breaker of Chains,20 April 2014
Grenn,GoT,Breaker of Chains,20 April 2014
Eddison Tollett,GoT,Breaker of Chains,20 April 2014
Podrick Payne,GoT,Breaker of Chains,20 April 2014
Tommen Baratheon,GoT,Breaker of Chains,20 April 2014
Farmer Hamlet,GoT,Breaker of Chains,20 April 2014
Shireen Baratheon,GoT,Breaker of Chains,20 April 2014
Davos Seaworth,GoT,Breaker of Chains,20 April 2014
Stannis Baratheon,GoT,Breaker of Chains,20 April 2014
Samwell Tarly,GoT,Breaker of Chains,20 April 2014
Ygritte,GoT,Breaker of Chains,20 April 2014
Gilly,GoT,Breaker of Chains,20 April 2014
Brienne of Tarth,GoT,Breaker of Chains,20 April 2014
Lord Varys,GoT,Breaker of Chains,20 April 2014
Ellaria Sand,GoT,Breaker of Chains,20 April 2014
Maester Aemon,GoT,Breaker of Chains,20 April 2014
Barristan Selmy,GoT,Breaker of Chains,20 April 2014
Grand Maester Pycelle,GoT,Breaker of Chains,20 April 2014
Alliser Thorne,GoT,Breaker of Chains,20 April 2014
Janos Slynt,GoT,Breaker of Chains,20 April 2014
Grey Worm,GoT,Breaker of Chains,20 April 2014
Missandei,GoT,Breaker of Chains,20 April 2014
Dontos Hollard,GoT,Breaker of Chains,20 April 2014
Olyvar,GoT,Breaker of Chains,20 April 2014
Pypar,GoT,Breaker of Chains,20 April 2014
Meryn Trant,GoT,Breaker of Chains,20 April 2014
Hizdahr zo Loraq,GoT,Breaker of Chains,20 April 2014
Olly,GoT,Breaker of Chains,20 April 2014
Guymon,GoT,Breaker of Chains,20 April 2014
Olly's Mother,GoT,Breaker of Chains,20 April 2014
Thenn Warg,GoT,Breaker of Chains,20 April 2014
Othell Yarwyck,GoT,Breaker of Chains,20 April 2014
High Septon,GoT,Breaker of Chains,20 April 2014
Marei,GoT,Breaker of Chains,20 April 2014
