CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Robert Baratheon,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Jaime Lannister,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Cersei Lannister,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Daenerys Targaryen,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Jorah Mormont,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Petyr 'Littlefinger' Baelish,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Viserys Targaryen,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Jon Snow,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Sansa Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Arya Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Robb Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Theon Greyjoy,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Bran Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Sandor 'The Hound' Clegane,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Tyrion Lannister,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Alliser Thorne,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Jory Cassel,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Septa Mordane,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Samwell Tarly,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Grenn,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Pypar,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Rast,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Doreah,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Hodor,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Hugh of the Vale,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Gendry,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Tobho Mott,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Kurleket,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Catelyn Stark,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Joffrey Baratheon,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Maester Luwin,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Lord Varys,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Bronn,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Rodrik Cassel,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Yoren,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Barristan Selmy,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Janos Slynt,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Grand Maester Pycelle,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Renly Baratheon,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Marillion,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Old Nan,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Gregor Clegane,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Irri,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Tommen Baratheon,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Myrcella Baratheon,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Willis Wode,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Masha Heddle,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
Khal Drogo,GoT,"Cripples, Bastards, and Broken Things",8 May 2011
