CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Garden of Bones,22 April 2012
Catelyn Stark,GoT,Garden of Bones,22 April 2012
Daenerys Targaryen,GoT,Garden of Bones,22 April 2012
Petyr 'Littlefinger' Baelish,GoT,Garden of Bones,22 April 2012
Tywin Lannister,GoT,Garden of Bones,22 April 2012
Davos Seaworth,GoT,Garden of Bones,22 April 2012
Joffrey Baratheon,GoT,Garden of Bones,22 April 2012
Robb Stark,GoT,Garden of Bones,22 April 2012
Sansa Stark,GoT,Garden of Bones,22 April 2012
Arya Stark,GoT,Garden of Bones,22 April 2012
Stannis Baratheon,GoT,Garden of Bones,22 April 2012
Melisandre,GoT,Garden of Bones,22 April 2012
Bronn,GoT,Garden of Bones,22 April 2012
Renly Baratheon,GoT,Garden of Bones,22 April 2012
Roose Bolton,GoT,Garden of Bones,22 April 2012
Talisa Maegyr,GoT,Garden of Bones,22 April 2012
Brienne of Tarth,GoT,Garden of Bones,22 April 2012
Ros,GoT,Garden of Bones,22 April 2012
Meryn Trant,GoT,Garden of Bones,22 April 2012
The Tickler,GoT,Garden of Bones,22 April 2012
Jorah Mormont,GoT,Garden of Bones,22 April 2012
Margaery Tyrell,GoT,Garden of Bones,22 April 2012
Sandor 'The Hound' Clegane,GoT,Garden of Bones,22 April 2012
Spice King,GoT,Garden of Bones,22 April 2012
Xaro Xhoan Daxos,GoT,Garden of Bones,22 April 2012
Gendry,GoT,Garden of Bones,22 April 2012
Lancel Lannister,GoT,Garden of Bones,22 April 2012
Pyat Pree,GoT,Garden of Bones,22 April 2012
Doreah,GoT,Garden of Bones,22 April 2012
Irri,GoT,Garden of Bones,22 April 2012
Kovarro,GoT,Garden of Bones,22 April 2012
Hot Pie,GoT,Garden of Bones,22 April 2012
Loras Tyrell,GoT,Garden of Bones,22 April 2012
Gregor 'The Mountain' Clegane,GoT,Garden of Bones,22 April 2012
Dontos Hollard,GoT,Garden of Bones,22 April 2012
Rennick,GoT,Garden of Bones,22 April 2012
Polliver,GoT,Garden of Bones,22 April 2012
Daisy,GoT,Garden of Bones,22 April 2012
Amory Lorch,GoT,Garden of Bones,22 April 2012
Silk King,GoT,Garden of Bones,22 April 2012
