CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Kill the Boy,10 May 2015
Daenerys Targaryen,GoT,Kill the Boy,10 May 2015
Jon Snow,GoT,Kill the Boy,10 May 2015
Stannis Baratheon,GoT,Kill the Boy,10 May 2015
Davos Seaworth,GoT,Kill the Boy,10 May 2015
Melisandre,GoT,Kill the Boy,10 May 2015
Theon Greyjoy,GoT,Kill the Boy,10 May 2015
Samwell Tarly,GoT,Kill the Boy,10 May 2015
Sansa Stark,GoT,Kill the Boy,10 May 2015
Brienne of Tarth,GoT,Kill the Boy,10 May 2015
Roose Bolton,GoT,Kill the Boy,10 May 2015
Ramsay Bolton,GoT,Kill the Boy,10 May 2015
Jorah Mormont,GoT,Kill the Boy,10 May 2015
Maester Aemon,GoT,Kill the Boy,10 May 2015
Selyse Baratheon,GoT,Kill the Boy,10 May 2015
Myranda,GoT,Kill the Boy,10 May 2015
Shireen Baratheon,GoT,Kill the Boy,10 May 2015
Walda Bolton,GoT,Kill the Boy,10 May 2015
Bowen Marsh,GoT,Kill the Boy,10 May 2015
Gilly,GoT,Kill the Boy,10 May 2015
Daario Naharis,GoT,Kill the Boy,10 May 2015
Missandei,GoT,Kill the Boy,10 May 2015
Tormund Giantsbane,GoT,Kill the Boy,10 May 2015
Barristan Selmy,GoT,Kill the Boy,10 May 2015
Alliser Thorne,GoT,Kill the Boy,10 May 2015
Grey Worm,GoT,Kill the Boy,10 May 2015
Hizdahr zo Loraq,GoT,Kill the Boy,10 May 2015
Eddison Tollett,GoT,Kill the Boy,10 May 2015
Podrick Payne,GoT,Kill the Boy,10 May 2015
Olly,GoT,Kill the Boy,10 May 2015
Othell Yarwyck,GoT,Kill the Boy,10 May 2015
