CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Kissed by Fire,28 April 2013
Jaime Lannister,GoT,Kissed by Fire,28 April 2013
Cersei Lannister,GoT,Kissed by Fire,28 April 2013
Daenerys Targaryen,GoT,Kissed by Fire,28 April 2013
Robb Stark,GoT,Kissed by Fire,28 April 2013
Jorah Mormont,GoT,Kissed by Fire,28 April 2013
Catelyn Stark,GoT,Kissed by Fire,28 April 2013
Tywin Lannister,GoT,Kissed by Fire,28 April 2013
Davos Seaworth,GoT,Kissed by Fire,28 April 2013
Stannis Baratheon,GoT,Kissed by Fire,28 April 2013
Talisa Stark,GoT,Kissed by Fire,28 April 2013
Arya Stark,GoT,Kissed by Fire,28 April 2013
Gendry,GoT,Kissed by Fire,28 April 2013
Ygritte,GoT,Kissed by Fire,28 April 2013
Sandor 'The Hound' Clegane,GoT,Kissed by Fire,28 April 2013
Olenna Tyrell,GoT,Kissed by Fire,28 April 2013
Brienne of Tarth,GoT,Kissed by Fire,28 April 2013
Barristan Selmy,GoT,Kissed by Fire,28 April 2013
Roose Bolton,GoT,Kissed by Fire,28 April 2013
Thoros of Myr,GoT,Kissed by Fire,28 April 2013
Beric Dondarrion,GoT,Kissed by Fire,28 April 2013
Qyburn,GoT,Kissed by Fire,28 April 2013
Edmure Tully,GoT,Kissed by Fire,28 April 2013
Loras Tyrell,GoT,Kissed by Fire,28 April 2013
Rickard Karstark,GoT,Kissed by Fire,28 April 2013
Shireen Baratheon,GoT,Kissed by Fire,28 April 2013
Missandei,GoT,Kissed by Fire,28 April 2013
Grey Worm,GoT,Kissed by Fire,28 April 2013
Anguy,GoT,Kissed by Fire,28 April 2013
Podrick Payne,GoT,Kissed by Fire,28 April 2013
Olyvar,GoT,Kissed by Fire,28 April 2013
Martyn Lannister,GoT,Kissed by Fire,28 April 2013
Willem Lannister,GoT,Kissed by Fire,28 April 2013
Jon Snow,GoT,Kissed by Fire,28 April 2013
Petyr 'Littlefinger' Baelish,GoT,Kissed by Fire,28 April 2013
Margaery Tyrell,GoT,Kissed by Fire,28 April 2013
Sansa Stark,GoT,Kissed by Fire,28 April 2013
Orell,GoT,Kissed by Fire,28 April 2013
Brynden 'Blackfish' Tully,GoT,Kissed by Fire,28 April 2013
Tormund Giantsbane,GoT,Kissed by Fire,28 April 2013
Locke,GoT,Kissed by Fire,28 April 2013
Selyse Baratheon,GoT,Kissed by Fire,28 April 2013
