CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Mhysa,9 June 2013
Jaime Lannister,GoT,Mhysa,9 June 2013
Cersei Lannister,GoT,Mhysa,9 June 2013
Daenerys Targaryen,GoT,Mhysa,9 June 2013
Jon Snow,GoT,Mhysa,9 June 2013
Jorah Mormont,GoT,Mhysa,9 June 2013
Tywin Lannister,GoT,Mhysa,9 June 2013
Davos Seaworth,GoT,Mhysa,9 June 2013
Stannis Baratheon,GoT,Mhysa,9 June 2013
Melisandre,GoT,Mhysa,9 June 2013
Bran Stark,GoT,Mhysa,9 June 2013
Sansa Stark,GoT,Mhysa,9 June 2013
Arya Stark,GoT,Mhysa,9 June 2013
Theon Greyjoy,GoT,Mhysa,9 June 2013
Joffrey Baratheon,GoT,Mhysa,9 June 2013
Ygritte,GoT,Mhysa,9 June 2013
Samwell Tarly,GoT,Mhysa,9 June 2013
Gendry,GoT,Mhysa,9 June 2013
Sandor 'The Hound' Clegane,GoT,Mhysa,9 June 2013
Lord Varys,GoT,Mhysa,9 June 2013
Shae,GoT,Mhysa,9 June 2013
Walder Frey,GoT,Mhysa,9 June 2013
Balon Greyjoy,GoT,Mhysa,9 June 2013
Roose Bolton,GoT,Mhysa,9 June 2013
Ramsay Snow,GoT,Mhysa,9 June 2013
Barristan Selmy,GoT,Mhysa,9 June 2013
Jojen Reed,GoT,Mhysa,9 June 2013
Yara Greyjoy,GoT,Mhysa,9 June 2013
Podrick Payne,GoT,Mhysa,9 June 2013
Daario Naharis,GoT,Mhysa,9 June 2013
Missandei,GoT,Mhysa,9 June 2013
Shireen Baratheon,GoT,Mhysa,9 June 2013
Maester Aemon,GoT,Mhysa,9 June 2013
Grand Maester Pycelle,GoT,Mhysa,9 June 2013
Brienne of Tarth,GoT,Mhysa,9 June 2013
Qyburn,GoT,Mhysa,9 June 2013
Gilly,GoT,Mhysa,9 June 2013
Meera Reed,GoT,Mhysa,9 June 2013
Hodor,GoT,Mhysa,9 June 2013
Grey Worm,GoT,Mhysa,9 June 2013
Pypar,GoT,Mhysa,9 June 2013
Desmond Crakehall,GoT,Mhysa,9 June 2013
