CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Mother's Mercy,14 June 2015
Jaime Lannister,GoT,Mother's Mercy,14 June 2015
Cersei Lannister,GoT,Mother's Mercy,14 June 2015
Daenerys Targaryen,GoT,Mother's Mercy,14 June 2015
Jon Snow,GoT,Mother's Mercy,14 June 2015
Stannis Baratheon,GoT,Mother's Mercy,14 June 2015
Davos Seaworth,GoT,Mother's Mercy,14 June 2015
Melisandre,GoT,Mother's Mercy,14 June 2015
Ellaria Sand,GoT,Mother's Mercy,14 June 2015
Arya Stark,GoT,Mother's Mercy,14 June 2015
Sansa Stark,GoT,Mother's Mercy,14 June 2015
Samwell Tarly,GoT,Mother's Mercy,14 June 2015
Gilly,GoT,Mother's Mercy,14 June 2015
Missandei,GoT,Mother's Mercy,14 June 2015
Daario Naharis,GoT,Mother's Mercy,14 June 2015
Lord Varys,GoT,Mother's Mercy,14 June 2015
Bronn,GoT,Mother's Mercy,14 June 2015
Theon Greyjoy,GoT,Mother's Mercy,14 June 2015
Ramsay Bolton,GoT,Mother's Mercy,14 June 2015
Brienne of Tarth,GoT,Mother's Mercy,14 June 2015
Jaqen H'ghar,GoT,Mother's Mercy,14 June 2015
Jorah Mormont,GoT,Mother's Mercy,14 June 2015
High Sparrow,GoT,Mother's Mercy,14 June 2015
Alliser Thorne,GoT,Mother's Mercy,14 June 2015
Selyse Baratheon,GoT,Mother's Mercy,14 June 2015
Meryn Trant,GoT,Mother's Mercy,14 June 2015
Qyburn,GoT,Mother's Mercy,14 June 2015
Doran Martell,GoT,Mother's Mercy,14 June 2015
Grey Worm,GoT,Mother's Mercy,14 June 2015
Podrick Payne,GoT,Mother's Mercy,14 June 2015
The Waif,GoT,Mother's Mercy,14 June 2015
Areo Hotah,GoT,Mother's Mercy,14 June 2015
Obara Sand,GoT,Mother's Mercy,14 June 2015
Tyene Sand,GoT,Mother's Mercy,14 June 2015
Nymeria Sand,GoT,Mother's Mercy,14 June 2015
Olly,GoT,Mother's Mercy,14 June 2015
Myranda,GoT,Mother's Mercy,14 June 2015
Myrcella Baratheon,GoT,Mother's Mercy,14 June 2015
Septa Unella,GoT,Mother's Mercy,14 June 2015
Gregor Clegane,GoT,Mother's Mercy,14 June 2015
Septa Moelle,GoT,Mother's Mercy,14 June 2015
Ghita,GoT,Mother's Mercy,14 June 2015
Grand Maester Pycelle,GoT,Mother's Mercy,14 June 2015
Kevan Lannister,GoT,Mother's Mercy,14 June 2015
Trystane Martell,GoT,Mother's Mercy,14 June 2015
Othell Yarwyck,GoT,Mother's Mercy,14 June 2015
Bowen Marsh,GoT,Mother's Mercy,14 June 2015
Septa Scolera,GoT,Mother's Mercy,14 June 2015
Gordy,GoT,Mother's Mercy,14 June 2015
Simpson,GoT,Mother's Mercy,14 June 2015
