CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Oathkeeper,27 April 2014
Jaime Lannister,GoT,Oathkeeper,27 April 2014
Cersei Lannister,GoT,Oathkeeper,27 April 2014
Daenerys Targaryen,GoT,Oathkeeper,27 April 2014
Jon Snow,GoT,Oathkeeper,27 April 2014
Petyr 'Littlefinger' Baelish,GoT,Oathkeeper,27 April 2014
Samwell Tarly,GoT,Oathkeeper,27 April 2014
Bran Stark,GoT,Oathkeeper,27 April 2014
Sansa Stark,GoT,Oathkeeper,27 April 2014
Brienne of Tarth,GoT,Oathkeeper,27 April 2014
Bronn,GoT,Oathkeeper,27 April 2014
Jorah Mormont,GoT,Oathkeeper,27 April 2014
Daario Naharis,GoT,Oathkeeper,27 April 2014
Barristan Selmy,GoT,Oathkeeper,27 April 2014
Karl Tanner,GoT,Oathkeeper,27 April 2014
Missandei,GoT,Oathkeeper,27 April 2014
Grey Worm,GoT,Oathkeeper,27 April 2014
Hodor,GoT,Oathkeeper,27 April 2014
Eddison Tollett,GoT,Oathkeeper,27 April 2014
Rast,GoT,Oathkeeper,27 April 2014
Tommen Baratheon,GoT,Oathkeeper,27 April 2014
Podrick Payne,GoT,Oathkeeper,27 April 2014
White Walker,GoT,Oathkeeper,27 April 2014
The Night King,GoT,Oathkeeper,27 April 2014
Margaery Tyrell,GoT,Oathkeeper,27 April 2014
Olenna Tyrell,GoT,Oathkeeper,27 April 2014
Alliser Thorne,GoT,Oathkeeper,27 April 2014
Locke,GoT,Oathkeeper,27 April 2014
Janos Slynt,GoT,Oathkeeper,27 April 2014
Jojen Reed,GoT,Oathkeeper,27 April 2014
Meera Reed,GoT,Oathkeeper,27 April 2014
Grenn,GoT,Oathkeeper,27 April 2014
Pypar,GoT,Oathkeeper,27 April 2014
Olly,GoT,Oathkeeper,27 April 2014
Mossador,GoT,Oathkeeper,27 April 2014
Morag,GoT,Oathkeeper,27 April 2014
Sissy,GoT,Oathkeeper,27 April 2014
