CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Stormborn,23 July 2017
Jaime Lannister,GoT,Stormborn,23 July 2017
Cersei Lannister,GoT,Stormborn,23 July 2017
Daenerys Targaryen,GoT,Stormborn,23 July 2017
Jon Snow,GoT,Stormborn,23 July 2017
Petyr 'Littlefinger' Baelish,GoT,Stormborn,23 July 2017
Davos Seaworth,GoT,Stormborn,23 July 2017
Sansa Stark,GoT,Stormborn,23 July 2017
Arya Stark,GoT,Stormborn,23 July 2017
Melisandre,GoT,Stormborn,23 July 2017
Missandei,GoT,Stormborn,23 July 2017
Ellaria Sand,GoT,Stormborn,23 July 2017
Theon Greyjoy,GoT,Stormborn,23 July 2017
Samwell Tarly,GoT,Stormborn,23 July 2017
Lord Varys,GoT,Stormborn,23 July 2017
Jorah Mormont,GoT,Stormborn,23 July 2017
Olenna Tyrell,GoT,Stormborn,23 July 2017
Archmaester Ebrose,GoT,Stormborn,23 July 2017
Euron Greyjoy,GoT,Stormborn,23 July 2017
Yara Greyjoy,GoT,Stormborn,23 July 2017
Qyburn,GoT,Stormborn,23 July 2017
Grey Worm,GoT,Stormborn,23 July 2017
Obara Sand,GoT,Stormborn,23 July 2017
Tyene Sand,GoT,Stormborn,23 July 2017
Nymeria Sand,GoT,Stormborn,23 July 2017
Gregor Clegane,GoT,Stormborn,23 July 2017
Hot Pie,GoT,Stormborn,23 July 2017
Randyll Tarly,GoT,Stormborn,23 July 2017
Dickon Tarly,GoT,Stormborn,23 July 2017
Lyanna Mormont,GoT,Stormborn,23 July 2017
Brienne of Tarth,GoT,Stormborn,23 July 2017
Robett Glover,GoT,Stormborn,23 July 2017
Yohn Royce,GoT,Stormborn,23 July 2017
Maester Wolkan,GoT,Stormborn,23 July 2017
Alys Karstark,GoT,Stormborn,23 July 2017
Ned Umber,GoT,Stormborn,23 July 2017
