CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Jaime Lannister,GoT,The Broken Man,5 June 2016
Cersei Lannister,GoT,The Broken Man,5 June 2016
Jon Snow,GoT,The Broken Man,5 June 2016
Margaery Tyrell,GoT,The Broken Man,5 June 2016
Davos Seaworth,GoT,The Broken Man,5 June 2016
Sansa Stark,GoT,The Broken Man,5 June 2016
Sandor 'The Hound' Clegane,GoT,The Broken Man,5 June 2016
Arya Stark,GoT,The Broken Man,5 June 2016
High Sparrow,GoT,The Broken Man,5 June 2016
Tormund Giantsbane,GoT,The Broken Man,5 June 2016
Bronn,GoT,The Broken Man,5 June 2016
Theon Greyjoy,GoT,The Broken Man,5 June 2016
Brother Ray,GoT,The Broken Man,5 June 2016
Olenna Tyrell,GoT,The Broken Man,5 June 2016
Brynden 'Blackfish' Tully,GoT,The Broken Man,5 June 2016
Yara Greyjoy,GoT,The Broken Man,5 June 2016
The Waif,GoT,The Broken Man,5 June 2016
Lem Lemoncloak,GoT,The Broken Man,5 June 2016
Robett Glover,GoT,The Broken Man,5 June 2016
Wun Wun,GoT,The Broken Man,5 June 2016
Gatins,GoT,The Broken Man,5 June 2016
Morgan,GoT,The Broken Man,5 June 2016
Dim Dalba,GoT,The Broken Man,5 June 2016
Septa Unella,GoT,The Broken Man,5 June 2016
Lyanna Mormont,GoT,The Broken Man,5 June 2016
The Waif's Disguise,GoT,The Broken Man,5 June 2016
Glover General,GoT,The Broken Man,5 June 2016
Edmure Tully,GoT,The Broken Man,5 June 2016
Gregor Clegane,GoT,The Broken Man,5 June 2016
Black Walder Rivers,GoT,The Broken Man,5 June 2016
Lothar Frey,GoT,The Broken Man,5 June 2016
