CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Children,15 June 2014
Jaime Lannister,GoT,The Children,15 June 2014
Cersei Lannister,GoT,The Children,15 June 2014
Daenerys Targaryen,GoT,The Children,15 June 2014
Jon Snow,GoT,The Children,15 June 2014
Tywin Lannister,GoT,The Children,15 June 2014
Davos Seaworth,GoT,The Children,15 June 2014
Stannis Baratheon,GoT,The Children,15 June 2014
Melisandre,GoT,The Children,15 June 2014
Bran Stark,GoT,The Children,15 June 2014
Arya Stark,GoT,The Children,15 June 2014
Sandor 'The Hound' Clegane,GoT,The Children,15 June 2014
Ygritte,GoT,The Children,15 June 2014
Tormund Giantsbane,GoT,The Children,15 June 2014
Brienne of Tarth,GoT,The Children,15 June 2014
Lord Varys,GoT,The Children,15 June 2014
Shae,GoT,The Children,15 June 2014
Mance Rayder,GoT,The Children,15 June 2014
Three-Eyed Raven,GoT,The Children,15 June 2014
Meera Reed,GoT,The Children,15 June 2014
Hodor,GoT,The Children,15 June 2014
Podrick Payne,GoT,The Children,15 June 2014
Leaf,GoT,The Children,15 June 2014
Ternesio Terys,GoT,The Children,15 June 2014
Dongo the Giant,GoT,The Children,15 June 2014
Samwell Tarly,GoT,The Children,15 June 2014
Maester Aemon,GoT,The Children,15 June 2014
Grand Maester Pycelle,GoT,The Children,15 June 2014
Qyburn,GoT,The Children,15 June 2014
Barristan Selmy,GoT,The Children,15 June 2014
Jojen Reed,GoT,The Children,15 June 2014
Selyse Baratheon,GoT,The Children,15 June 2014
Janos Slynt,GoT,The Children,15 June 2014
Grey Worm,GoT,The Children,15 June 2014
Missandei,GoT,The Children,15 June 2014
Grenn,GoT,The Children,15 June 2014
Eddison Tollett,GoT,The Children,15 June 2014
Pypar,GoT,The Children,15 June 2014
Fennesz,GoT,The Children,15 June 2014
Olly,GoT,The Children,15 June 2014
Shireen Baratheon,GoT,The Children,15 June 2014
Gregor Clegane,GoT,The Children,15 June 2014
