CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Dragon and the Wolf,27 August 2017
Jaime Lannister,GoT,The Dragon and the Wolf,27 August 2017
Cersei Lannister,GoT,The Dragon and the Wolf,27 August 2017
Daenerys Targaryen,GoT,The Dragon and the Wolf,27 August 2017
Jon Snow,GoT,The Dragon and the Wolf,27 August 2017
Petyr 'Littlefinger' Baelish,GoT,The Dragon and the Wolf,27 August 2017
Davos Seaworth,GoT,The Dragon and the Wolf,27 August 2017
Sansa Stark,GoT,The Dragon and the Wolf,27 August 2017
Arya Stark,GoT,The Dragon and the Wolf,27 August 2017
Theon Greyjoy,GoT,The Dragon and the Wolf,27 August 2017
Samwell Tarly,GoT,The Dragon and the Wolf,27 August 2017
Bran Stark,GoT,The Dragon and the Wolf,27 August 2017
Lord Varys,GoT,The Dragon and the Wolf,27 August 2017
Bronn,GoT,The Dragon and the Wolf,27 August 2017
Brienne of Tarth,GoT,The Dragon and the Wolf,27 August 2017
Sandor 'The Hound' Clegane,GoT,The Dragon and the Wolf,27 August 2017
Tormund Giantsbane,GoT,The Dragon and the Wolf,27 August 2017
Jorah Mormont,GoT,The Dragon and the Wolf,27 August 2017
Euron Greyjoy,GoT,The Dragon and the Wolf,27 August 2017
Beric Dondarrion,GoT,The Dragon and the Wolf,27 August 2017
Grey Worm,GoT,The Dragon and the Wolf,27 August 2017
Podrick Payne,GoT,The Dragon and the Wolf,27 August 2017
Gregor Clegane,GoT,The Dragon and the Wolf,27 August 2017
Yohn Royce,GoT,The Dragon and the Wolf,27 August 2017
Lyanna Stark,GoT,The Dragon and the Wolf,27 August 2017
Harrag,GoT,The Dragon and the Wolf,27 August 2017
Maester Wolkan,GoT,The Dragon and the Wolf,27 August 2017
Rhaegar Targaryen,GoT,The Dragon and the Wolf,27 August 2017
High Septon Maynard,GoT,The Dragon and the Wolf,27 August 2017
Qhono,GoT,The Dragon and the Wolf,27 August 2017
Missandei,GoT,The Dragon and the Wolf,27 August 2017
Gilly,GoT,The Dragon and the Wolf,27 August 2017
Qyburn,GoT,The Dragon and the Wolf,27 August 2017
Young Ned,GoT,The Dragon and the Wolf,27 August 2017
