CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The House of Black and White,19 April 2015
Cersei Lannister,GoT,The House of Black and White,19 April 2015
Daenerys Targaryen,GoT,The House of Black and White,19 April 2015
Jon Snow,GoT,The House of Black and White,19 April 2015
Petyr 'Littlefinger' Baelish,GoT,The House of Black and White,19 April 2015
Stannis Baratheon,GoT,The House of Black and White,19 April 2015
Davos Seaworth,GoT,The House of Black and White,19 April 2015
Ellaria Sand,GoT,The House of Black and White,19 April 2015
Arya Stark,GoT,The House of Black and White,19 April 2015
Sansa Stark,GoT,The House of Black and White,19 April 2015
Lord Varys,GoT,The House of Black and White,19 April 2015
Bronn,GoT,The House of Black and White,19 April 2015
Samwell Tarly,GoT,The House of Black and White,19 April 2015
Gilly,GoT,The House of Black and White,19 April 2015
Brienne of Tarth,GoT,The House of Black and White,19 April 2015
Daario Naharis,GoT,The House of Black and White,19 April 2015
Jaqen H'ghar,GoT,The House of Black and White,19 April 2015
Barristan Selmy,GoT,The House of Black and White,19 April 2015
Doran Martell,GoT,The House of Black and White,19 April 2015
Grey Worm,GoT,The House of Black and White,19 April 2015
Podrick Payne,GoT,The House of Black and White,19 April 2015
Areo Hotah,GoT,The House of Black and White,19 April 2015
Kevan Lannister,GoT,The House of Black and White,19 April 2015
Mossador,GoT,The House of Black and White,19 April 2015
Shireen Baratheon,GoT,The House of Black and White,19 April 2015
Myrcella Baratheon,GoT,The House of Black and White,19 April 2015
Trystane Martell,GoT,The House of Black and White,19 April 2015
Lollys Stokeworth,GoT,The House of Black and White,19 April 2015
Faceless Man,GoT,The House of Black and White,19 April 2015
Ternesio Terys,GoT,The House of Black and White,19 April 2015
Denys Mallister,GoT,The House of Black and White,19 April 2015
Son of the Harpy,GoT,The House of Black and White,19 April 2015
Jaime Lannister,GoT,The House of Black and White,19 April 2015
Missandei,GoT,The House of Black and White,19 April 2015
Maester Aemon,GoT,The House of Black and White,19 April 2015
Grand Maester Pycelle,GoT,The House of Black and White,19 April 2015
Qyburn,GoT,The House of Black and White,19 April 2015
Selyse Baratheon,GoT,The House of Black and White,19 April 2015
Alliser Thorne,GoT,The House of Black and White,19 April 2015
Eddison Tollett,GoT,The House of Black and White,19 April 2015
Janos Slynt,GoT,The House of Black and White,19 April 2015
Mace Tyrell,GoT,The House of Black and White,19 April 2015
Hizdahr zo Loraq,GoT,The House of Black and White,19 April 2015
Meryn Trant,GoT,The House of Black and White,19 April 2015
Olly,GoT,The House of Black and White,19 April 2015
Othell Yarwyck,GoT,The House of Black and White,19 April 2015
Bowen Marsh,GoT,The House of Black and White,19 April 2015
