CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,The Kingsroad,24 April 2011
Jaime Lannister,GoT,The Kingsroad,24 April 2011
Catelyn Stark,GoT,The Kingsroad,24 April 2011
Cersei Lannister,GoT,The Kingsroad,24 April 2011
Daenerys Targaryen,GoT,The Kingsroad,24 April 2011
Jorah Mormont,GoT,The Kingsroad,24 April 2011
Viserys Targaryen,GoT,The Kingsroad,24 April 2011
Jon Snow,GoT,The Kingsroad,24 April 2011
Sansa Stark,GoT,The Kingsroad,24 April 2011
Arya Stark,GoT,The Kingsroad,24 April 2011
Bran Stark,GoT,The Kingsroad,24 April 2011
Joffrey Baratheon,GoT,The Kingsroad,24 April 2011
Sandor 'The Hound' Clegane,GoT,The Kingsroad,24 April 2011
Tyrion Lannister,GoT,The Kingsroad,24 April 2011
Maester Luwin,GoT,The Kingsroad,24 April 2011
Benjen Stark,GoT,The Kingsroad,24 April 2011
Doreah,GoT,The Kingsroad,24 April 2011
Irri,GoT,The Kingsroad,24 April 2011
Ilyn Payne,GoT,The Kingsroad,24 April 2011
Mycah,GoT,The Kingsroad,24 April 2011
Tommen Baratheon,GoT,The Kingsroad,24 April 2011
Robert Baratheon,GoT,The Kingsroad,24 April 2011
Robb Stark,GoT,The Kingsroad,24 April 2011
Theon Greyjoy,GoT,The Kingsroad,24 April 2011
Jory Cassel,GoT,The Kingsroad,24 April 2011
Rodrik Cassel,GoT,The Kingsroad,24 April 2011
Qotho,GoT,The Kingsroad,24 April 2011
Jhiqui,GoT,The Kingsroad,24 April 2011
Rast,GoT,The Kingsroad,24 April 2011
Myrcella Baratheon,GoT,The Kingsroad,24 April 2011
Khal Drogo,GoT,The Kingsroad,24 April 2011
