CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Laws of Gods and Men,11 May 2014
Jaime Lannister,GoT,The Laws of Gods and Men,11 May 2014
Cersei Lannister,GoT,The Laws of Gods and Men,11 May 2014
Tywin Lannister,GoT,The Laws of Gods and Men,11 May 2014
Davos Seaworth,GoT,The Laws of Gods and Men,11 May 2014
Stannis Baratheon,GoT,The Laws of Gods and Men,11 May 2014
Theon Greyjoy,GoT,The Laws of Gods and Men,11 May 2014
Ramsay Snow,GoT,The Laws of Gods and Men,11 May 2014
Lord Varys,GoT,The Laws of Gods and Men,11 May 2014
Shae,GoT,The Laws of Gods and Men,11 May 2014
Oberyn Martell,GoT,The Laws of Gods and Men,11 May 2014
Tycho Nestoris,GoT,The Laws of Gods and Men,11 May 2014
Yara Greyjoy,GoT,The Laws of Gods and Men,11 May 2014
Daenerys Targaryen,GoT,The Laws of Gods and Men,11 May 2014
Margaery Tyrell,GoT,The Laws of Gods and Men,11 May 2014
Jorah Mormont,GoT,The Laws of Gods and Men,11 May 2014
Grand Maester Pycelle,GoT,The Laws of Gods and Men,11 May 2014
Barristan Selmy,GoT,The Laws of Gods and Men,11 May 2014
Mace Tyrell,GoT,The Laws of Gods and Men,11 May 2014
Salladhor Saan,GoT,The Laws of Gods and Men,11 May 2014
Missandei,GoT,The Laws of Gods and Men,11 May 2014
Grey Worm,GoT,The Laws of Gods and Men,11 May 2014
Loras Tyrell,GoT,The Laws of Gods and Men,11 May 2014
Tommen Baratheon,GoT,The Laws of Gods and Men,11 May 2014
Meryn Trant,GoT,The Laws of Gods and Men,11 May 2014
Hizdahr zo Loraq,GoT,The Laws of Gods and Men,11 May 2014
Myranda,GoT,The Laws of Gods and Men,11 May 2014
Lhara,GoT,The Laws of Gods and Men,11 May 2014
