CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Mountain and the Viper,1 June 2014
Jaime Lannister,GoT,The Mountain and the Viper,1 June 2014
Daenerys Targaryen,GoT,The Mountain and the Viper,1 June 2014
Tywin Lannister,GoT,The Mountain and the Viper,1 June 2014
Theon Greyjoy,GoT,The Mountain and the Viper,1 June 2014
Sansa Stark,GoT,The Mountain and the Viper,1 June 2014
Arya Stark,GoT,The Mountain and the Viper,1 June 2014
Ramsay Snow,GoT,The Mountain and the Viper,1 June 2014
Sandor 'The Hound' Clegane,GoT,The Mountain and the Viper,1 June 2014
Jorah Mormont,GoT,The Mountain and the Viper,1 June 2014
Oberyn Martell,GoT,The Mountain and the Viper,1 June 2014
Ellaria Sand,GoT,The Mountain and the Viper,1 June 2014
Roose Bolton,GoT,The Mountain and the Viper,1 June 2014
Grey Worm,GoT,The Mountain and the Viper,1 June 2014
Missandei,GoT,The Mountain and the Viper,1 June 2014
Eddison Tollett,GoT,The Mountain and the Viper,1 June 2014
Anya Waynwood,GoT,The Mountain and the Viper,1 June 2014
Gregor Clegane,GoT,The Mountain and the Viper,1 June 2014
Donnel Waynwood,GoT,The Mountain and the Viper,1 June 2014
Cersei Lannister,GoT,The Mountain and the Viper,1 June 2014
Jon Snow,GoT,The Mountain and the Viper,1 June 2014
Petyr 'Littlefinger' Baelish,GoT,The Mountain and the Viper,1 June 2014
Samwell Tarly,GoT,The Mountain and the Viper,1 June 2014
Ygritte,GoT,The Mountain and the Viper,1 June 2014
Tormund Giantsbane,GoT,The Mountain and the Viper,1 June 2014
Gilly,GoT,The Mountain and the Viper,1 June 2014
Lord Varys,GoT,The Mountain and the Viper,1 June 2014
Barristan Selmy,GoT,The Mountain and the Viper,1 June 2014
Grand Maester Pycelle,GoT,The Mountain and the Viper,1 June 2014
Mace Tyrell,GoT,The Mountain and the Viper,1 June 2014
Styr,GoT,The Mountain and the Viper,1 June 2014
Grenn,GoT,The Mountain and the Viper,1 June 2014
Pypar,GoT,The Mountain and the Viper,1 June 2014
Yohn Royce,GoT,The Mountain and the Viper,1 June 2014
Ralf Kenning,GoT,The Mountain and the Viper,1 June 2014
Robin Arryn,GoT,The Mountain and the Viper,1 June 2014
Adrack Humble,GoT,The Mountain and the Viper,1 June 2014
Vance Corbray,GoT,The Mountain and the Viper,1 June 2014
Kegs,GoT,The Mountain and the Viper,1 June 2014
Black Jack Bulwer,GoT,The Mountain and the Viper,1 June 2014
Mully,GoT,The Mountain and the Viper,1 June 2014
