CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The North Remembers,1 April 2012
Cersei Lannister,GoT,The North Remembers,1 April 2012
Jaime Lannister,GoT,The North Remembers,1 April 2012
Daenerys Targaryen,GoT,The North Remembers,1 April 2012
Petyr 'Littlefinger' Baelish,GoT,The North Remembers,1 April 2012
Jorah Mormont,GoT,The North Remembers,1 April 2012
Davos Seaworth,GoT,The North Remembers,1 April 2012
Bran Stark,GoT,The North Remembers,1 April 2012
Robb Stark,GoT,The North Remembers,1 April 2012
Sansa Stark,GoT,The North Remembers,1 April 2012
Joffrey Baratheon,GoT,The North Remembers,1 April 2012
Stannis Baratheon,GoT,The North Remembers,1 April 2012
Melisandre,GoT,The North Remembers,1 April 2012
Jeor Mormont,GoT,The North Remembers,1 April 2012
Bronn,GoT,The North Remembers,1 April 2012
Lord Varys,GoT,The North Remembers,1 April 2012
Shae,GoT,The North Remembers,1 April 2012
Rodrik Cassel,GoT,The North Remembers,1 April 2012
Hodor,GoT,The North Remembers,1 April 2012
Janos Slynt,GoT,The North Remembers,1 April 2012
Matthos Seaworth,GoT,The North Remembers,1 April 2012
Dontos Hollard,GoT,The North Remembers,1 April 2012
Alton Lannister,GoT,The North Remembers,1 April 2012
Tommen Baratheon,GoT,The North Remembers,1 April 2012
Catelyn Stark,GoT,The North Remembers,1 April 2012
Jon Snow,GoT,The North Remembers,1 April 2012
Arya Stark,GoT,The North Remembers,1 April 2012
Theon Greyjoy,GoT,The North Remembers,1 April 2012
Samwell Tarly,GoT,The North Remembers,1 April 2012
Sandor 'The Hound' Clegane,GoT,The North Remembers,1 April 2012
Maester Luwin,GoT,The North Remembers,1 April 2012
Grand Maester Pycelle,GoT,The North Remembers,1 April 2012
Craster,GoT,The North Remembers,1 April 2012
Osha,GoT,The North Remembers,1 April 2012
Maester Cressen,GoT,The North Remembers,1 April 2012
Grenn,GoT,The North Remembers,1 April 2012
Eddison Tollett,GoT,The North Remembers,1 April 2012
Gendry,GoT,The North Remembers,1 April 2012
Hot Pie,GoT,The North Remembers,1 April 2012
Lommy Greenhands,GoT,The North Remembers,1 April 2012
Doreah,GoT,The North Remembers,1 April 2012
Irri,GoT,The North Remembers,1 April 2012
Rakharo,GoT,The North Remembers,1 April 2012
Kovarro,GoT,The North Remembers,1 April 2012
Ros,GoT,The North Remembers,1 April 2012
Gilly,GoT,The North Remembers,1 April 2012
Meryn Trant,GoT,The North Remembers,1 April 2012
Armeca,GoT,The North Remembers,1 April 2012
Daisy,GoT,The North Remembers,1 April 2012
Mhaegen,GoT,The North Remembers,1 April 2012
Myrcella Baratheon,GoT,The North Remembers,1 April 2012
Tobho Mott,GoT,The North Remembers,1 April 2012
Chella,GoT,The North Remembers,1 April 2012
Lord Portan,GoT,The North Remembers,1 April 2012
Tourney Herald,GoT,The North Remembers,1 April 2012
Marei,GoT,The North Remembers,1 April 2012
