CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Jon Snow,GoT,The Rains of Castamere,2 June 2013
Robb Stark,GoT,The Rains of Castamere,2 June 2013
Jorah Mormont,GoT,The Rains of Castamere,2 June 2013
Catelyn Stark,GoT,The Rains of Castamere,2 June 2013
Bran Stark,GoT,The Rains of Castamere,2 June 2013
Talisa Stark,GoT,The Rains of Castamere,2 June 2013
Ygritte,GoT,The Rains of Castamere,2 June 2013
Walder Frey,GoT,The Rains of Castamere,2 June 2013
Orell,GoT,The Rains of Castamere,2 June 2013
Roose Bolton,GoT,The Rains of Castamere,2 June 2013
Barristan Selmy,GoT,The Rains of Castamere,2 June 2013
Brynden 'Blackfish' Tully,GoT,The Rains of Castamere,2 June 2013
Edmure Tully,GoT,The Rains of Castamere,2 June 2013
Tormund Giantsbane,GoT,The Rains of Castamere,2 June 2013
Jojen Reed,GoT,The Rains of Castamere,2 June 2013
Daario Naharis,GoT,The Rains of Castamere,2 June 2013
Black Walder Rivers,GoT,The Rains of Castamere,2 June 2013
Roslin Frey,GoT,The Rains of Castamere,2 June 2013
Joyeuse Frey,GoT,The Rains of Castamere,2 June 2013
Marianne Frey,GoT,The Rains of Castamere,2 June 2013
Daenerys Targaryen,GoT,The Rains of Castamere,2 June 2013
Samwell Tarly,GoT,The Rains of Castamere,2 June 2013
Arya Stark,GoT,The Rains of Castamere,2 June 2013
Sandor 'The Hound' Clegane,GoT,The Rains of Castamere,2 June 2013
Osha,GoT,The Rains of Castamere,2 June 2013
Meera Reed,GoT,The Rains of Castamere,2 June 2013
Gilly,GoT,The Rains of Castamere,2 June 2013
Grey Worm,GoT,The Rains of Castamere,2 June 2013
Missandei,GoT,The Rains of Castamere,2 June 2013
Hodor,GoT,The Rains of Castamere,2 June 2013
Lothar Frey,GoT,The Rains of Castamere,2 June 2013
Rickon Stark,GoT,The Rains of Castamere,2 June 2013
Merry Frey,GoT,The Rains of Castamere,2 June 2013
Wendel Manderly,GoT,The Rains of Castamere,2 June 2013
