CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Spoils of War,6 August 2017
Jaime Lannister,GoT,The Spoils of War,6 August 2017
Cersei Lannister,GoT,The Spoils of War,6 August 2017
Daenerys Targaryen,GoT,The Spoils of War,6 August 2017
Jon Snow,GoT,The Spoils of War,6 August 2017
Petyr 'Littlefinger' Baelish,GoT,The Spoils of War,6 August 2017
Davos Seaworth,GoT,The Spoils of War,6 August 2017
Sansa Stark,GoT,The Spoils of War,6 August 2017
Arya Stark,GoT,The Spoils of War,6 August 2017
Missandei,GoT,The Spoils of War,6 August 2017
Lord Varys,GoT,The Spoils of War,6 August 2017
Bronn,GoT,The Spoils of War,6 August 2017
Theon Greyjoy,GoT,The Spoils of War,6 August 2017
Brienne of Tarth,GoT,The Spoils of War,6 August 2017
Bran Stark,GoT,The Spoils of War,6 August 2017
Dickon Tarly,GoT,The Spoils of War,6 August 2017
Meera Reed,GoT,The Spoils of War,6 August 2017
Tycho Nestoris,GoT,The Spoils of War,6 August 2017
Harrag,GoT,The Spoils of War,6 August 2017
Podrick Payne,GoT,The Spoils of War,6 August 2017
Randyll Tarly,GoT,The Spoils of War,6 August 2017
Koner,GoT,The Spoils of War,6 August 2017
Qhono,GoT,The Spoils of War,6 August 2017
