CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Wars to Come,29 March 2015
Jaime Lannister,GoT,The Wars to Come,29 March 2015
Cersei Lannister,GoT,The Wars to Come,29 March 2015
Daenerys Targaryen,GoT,The Wars to Come,29 March 2015
Jon Snow,GoT,The Wars to Come,29 March 2015
Petyr 'Littlefinger' Baelish,GoT,The Wars to Come,29 March 2015
Tywin Lannister,GoT,The Wars to Come,29 March 2015
Margaery Tyrell,GoT,The Wars to Come,29 March 2015
Stannis Baratheon,GoT,The Wars to Come,29 March 2015
Melisandre,GoT,The Wars to Come,29 March 2015
Samwell Tarly,GoT,The Wars to Come,29 March 2015
Sansa Stark,GoT,The Wars to Come,29 March 2015
Tormund Giantsbane,GoT,The Wars to Come,29 March 2015
Gilly,GoT,The Wars to Come,29 March 2015
Lord Varys,GoT,The Wars to Come,29 March 2015
Brienne of Tarth,GoT,The Wars to Come,29 March 2015
Daario Naharis,GoT,The Wars to Come,29 March 2015
Missandei,GoT,The Wars to Come,29 March 2015
Mance Rayder,GoT,The Wars to Come,29 March 2015
Barristan Selmy,GoT,The Wars to Come,29 March 2015
Grey Worm,GoT,The Wars to Come,29 March 2015
Maggy,GoT,The Wars to Come,29 March 2015
Hizdahr zo Loraq,GoT,The Wars to Come,29 March 2015
Eddison Tollett,GoT,The Wars to Come,29 March 2015
Yohn Royce,GoT,The Wars to Come,29 March 2015
Meryn Trant,GoT,The Wars to Come,29 March 2015
Olly,GoT,The Wars to Come,29 March 2015
Robin Arryn,GoT,The Wars to Come,29 March 2015
Young Cersei Lannister,GoT,The Wars to Come,29 March 2015
Melara Hetherspoon,GoT,The Wars to Come,29 March 2015
Davos Seaworth,GoT,The Wars to Come,29 March 2015
Tommen Baratheon,GoT,The Wars to Come,29 March 2015
Alliser Thorne,GoT,The Wars to Come,29 March 2015
Grand Maester Pycelle,GoT,The Wars to Come,29 March 2015
Selyse Baratheon,GoT,The Wars to Come,29 March 2015
Mace Tyrell,GoT,The Wars to Come,29 March 2015
Loras Tyrell,GoT,The Wars to Come,29 March 2015
Podrick Payne,GoT,The Wars to Come,29 March 2015
Janos Slynt,GoT,The Wars to Come,29 March 2015
Lancel Lannister,GoT,The Wars to Come,29 March 2015
Olyvar,GoT,The Wars to Come,29 March 2015
Kevan Lannister,GoT,The Wars to Come,29 March 2015
Shireen Baratheon,GoT,The Wars to Come,29 March 2015
High Septon,GoT,The Wars to Come,29 March 2015
Mossador,GoT,The Wars to Come,29 March 2015
Bowen Marsh,GoT,The Wars to Come,29 March 2015
White Rat,GoT,The Wars to Come,29 March 2015
Strong Sam Stone,GoT,The Wars to Come,29 March 2015
Vala,GoT,The Wars to Come,29 March 2015
Maester Helliweg,GoT,The Wars to Come,29 March 2015
