CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Jon Snow,GoT,The Watchers on the Wall,8 June 2014
Samwell Tarly,GoT,The Watchers on the Wall,8 June 2014
Gilly,GoT,The Watchers on the Wall,8 June 2014
Ygritte,GoT,The Watchers on the Wall,8 June 2014
Tormund Giantsbane,GoT,The Watchers on the Wall,8 June 2014
Maester Aemon,GoT,The Watchers on the Wall,8 June 2014
Alliser Thorne,GoT,The Watchers on the Wall,8 June 2014
Janos Slynt,GoT,The Watchers on the Wall,8 June 2014
Grenn,GoT,The Watchers on the Wall,8 June 2014
Styr,GoT,The Watchers on the Wall,8 June 2014
Pypar,GoT,The Watchers on the Wall,8 June 2014
Olly,GoT,The Watchers on the Wall,8 June 2014
Dongo the Giant,GoT,The Watchers on the Wall,8 June 2014
Mag the Mighty,GoT,The Watchers on the Wall,8 June 2014
Cooper,GoT,The Watchers on the Wall,8 June 2014
Night's Watch Archer,GoT,The Watchers on the Wall,8 June 2014
Donnel Hill,GoT,The Watchers on the Wall,8 June 2014
Eddison Tollett,GoT,The Watchers on the Wall,8 June 2014
Thenn Warg,GoT,The Watchers on the Wall,8 June 2014
