CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Two Swords,6 April 2014
Jaime Lannister,GoT,Two Swords,6 April 2014
Cersei Lannister,GoT,Two Swords,6 April 2014
Daenerys Targaryen,GoT,Two Swords,6 April 2014
Jon Snow,GoT,Two Swords,6 April 2014
Tywin Lannister,GoT,Two Swords,6 April 2014
Margaery Tyrell,GoT,Two Swords,6 April 2014
Joffrey Baratheon,GoT,Two Swords,6 April 2014
Arya Stark,GoT,Two Swords,6 April 2014
Ygritte,GoT,Two Swords,6 April 2014
Tormund Giantsbane,GoT,Two Swords,6 April 2014
Sandor 'The Hound' Clegane,GoT,Two Swords,6 April 2014
Brienne of Tarth,GoT,Two Swords,6 April 2014
Bronn,GoT,Two Swords,6 April 2014
Shae,GoT,Two Swords,6 April 2014
Jorah Mormont,GoT,Two Swords,6 April 2014
Olenna Tyrell,GoT,Two Swords,6 April 2014
Oberyn Martell,GoT,Two Swords,6 April 2014
Ellaria Sand,GoT,Two Swords,6 April 2014
Daario Naharis,GoT,Two Swords,6 April 2014
Maester Aemon,GoT,Two Swords,6 April 2014
Alliser Thorne,GoT,Two Swords,6 April 2014
Qyburn,GoT,Two Swords,6 April 2014
Styr,GoT,Two Swords,6 April 2014
Grey Worm,GoT,Two Swords,6 April 2014
Missandei,GoT,Two Swords,6 April 2014
Janos Slynt,GoT,Two Swords,6 April 2014
Meryn Trant,GoT,Two Swords,6 April 2014
Dontos Hollard,GoT,Two Swords,6 April 2014
Polliver,GoT,Two Swords,6 April 2014
Thenn Warg,GoT,Two Swords,6 April 2014
Ser Endrew Tarth,GoT,Two Swords,6 April 2014
Marei,GoT,Two Swords,6 April 2014
Sansa Stark,GoT,Two Swords,6 April 2014
Samwell Tarly,GoT,Two Swords,6 April 2014
Barristan Selmy,GoT,Two Swords,6 April 2014
Podrick Payne,GoT,Two Swords,6 April 2014
Olyvar,GoT,Two Swords,6 April 2014
Morgan,GoT,Two Swords,6 April 2014
Lord Blackmont,GoT,Two Swords,6 April 2014
Othell Yarwyck,GoT,Two Swords,6 April 2014
Bernadette,GoT,Two Swords,6 April 2014
Tommy,GoT,Two Swords,6 April 2014
