CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Jaime Lannister,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Cersei Lannister,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Petyr 'Littlefinger' Baelish,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Margaery Tyrell,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Arya Stark,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Sansa Stark,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Bronn,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Theon Greyjoy,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Jorah Mormont,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Olenna Tyrell,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Areo Hotah,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Obara Sand,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Tyene Sand,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Nymeria Sand,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Lancel Lannister,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
The Waif,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Malko,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Trystane Martell,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Myrcella Baratheon,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Ghita,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Ellaria Sand,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Roose Bolton,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Ramsay Bolton,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Jaqen H'ghar,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Tommen Baratheon,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
High Sparrow,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Doran Martell,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Loras Tyrell,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Olyvar,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Myranda,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Walda Bolton,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
Joss,GoT,"Unbowed, Unbent, Unbroken",17 May 2015
