CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Valar Morghulis,3 June 2012
Jaime Lannister,GoT,Valar Morghulis,3 June 2012
Daenerys Targaryen,GoT,Valar Morghulis,3 June 2012
Petyr 'Littlefinger' Baelish,GoT,Valar Morghulis,3 June 2012
Jorah Mormont,GoT,Valar Morghulis,3 June 2012
Jon Snow,GoT,Valar Morghulis,3 June 2012
Robb Stark,GoT,Valar Morghulis,3 June 2012
Arya Stark,GoT,Valar Morghulis,3 June 2012
Theon Greyjoy,GoT,Valar Morghulis,3 June 2012
Melisandre,GoT,Valar Morghulis,3 June 2012
Lord Varys,GoT,Valar Morghulis,3 June 2012
Maester Luwin,GoT,Valar Morghulis,3 June 2012
Grand Maester Pycelle,GoT,Valar Morghulis,3 June 2012
Pyat Pree,GoT,Valar Morghulis,3 June 2012
Jaqen H'ghar,GoT,Valar Morghulis,3 June 2012
Qhorin Halfhand,GoT,Valar Morghulis,3 June 2012
Brienne of Tarth,GoT,Valar Morghulis,3 June 2012
Ygritte,GoT,Valar Morghulis,3 June 2012
Talisa Maegyr,GoT,Valar Morghulis,3 June 2012
Dagmer Cleftjaw,GoT,Valar Morghulis,3 June 2012
Kovarro,GoT,Valar Morghulis,3 June 2012
Black Lorren,GoT,Valar Morghulis,3 June 2012
Soldier Tom,GoT,Valar Morghulis,3 June 2012
Septon,GoT,Valar Morghulis,3 June 2012
Khal Drogo,GoT,Valar Morghulis,3 June 2012
Cersei Lannister,GoT,Valar Morghulis,3 June 2012
Catelyn Stark,GoT,Valar Morghulis,3 June 2012
Tywin Lannister,GoT,Valar Morghulis,3 June 2012
Bran Stark,GoT,Valar Morghulis,3 June 2012
Sansa Stark,GoT,Valar Morghulis,3 June 2012
Samwell Tarly,GoT,Valar Morghulis,3 June 2012
Joffrey Baratheon,GoT,Valar Morghulis,3 June 2012
Margaery Tyrell,GoT,Valar Morghulis,3 June 2012
Stannis Baratheon,GoT,Valar Morghulis,3 June 2012
Shae,GoT,Valar Morghulis,3 June 2012
Osha,GoT,Valar Morghulis,3 June 2012
Xaro Xhoan Daxos,GoT,Valar Morghulis,3 June 2012
Gendry,GoT,Valar Morghulis,3 June 2012
Ros,GoT,Valar Morghulis,3 June 2012
Loras Tyrell,GoT,Valar Morghulis,3 June 2012
Grenn,GoT,Valar Morghulis,3 June 2012
Eddison Tollett,GoT,Valar Morghulis,3 June 2012
Hot Pie,GoT,Valar Morghulis,3 June 2012
Doreah,GoT,Valar Morghulis,3 June 2012
Hodor,GoT,Valar Morghulis,3 June 2012
Rickon Stark,GoT,Valar Morghulis,3 June 2012
Rattleshirt,GoT,Valar Morghulis,3 June 2012
Podrick Payne,GoT,Valar Morghulis,3 June 2012
Rhaego,GoT,Valar Morghulis,3 June 2012
