CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Walk of Punishment,14 April 2013
Jaime Lannister,GoT,Walk of Punishment,14 April 2013
Daenerys Targaryen,GoT,Walk of Punishment,14 April 2013
Robb Stark,GoT,Walk of Punishment,14 April 2013
Jorah Mormont,GoT,Walk of Punishment,14 April 2013
Catelyn Stark,GoT,Walk of Punishment,14 April 2013
Tywin Lannister,GoT,Walk of Punishment,14 April 2013
Arya Stark,GoT,Walk of Punishment,14 April 2013
Talisa Stark,GoT,Walk of Punishment,14 April 2013
Gendry,GoT,Walk of Punishment,14 April 2013
Bronn,GoT,Walk of Punishment,14 April 2013
Mance Rayder,GoT,Walk of Punishment,14 April 2013
Brienne of Tarth,GoT,Walk of Punishment,14 April 2013
Brynden 'Blackfish' Tully,GoT,Walk of Punishment,14 April 2013
Edmure Tully,GoT,Walk of Punishment,14 April 2013
Locke,GoT,Walk of Punishment,14 April 2013
Hot Pie,GoT,Walk of Punishment,14 April 2013
Podrick Payne,GoT,Walk of Punishment,14 April 2013
Missandei,GoT,Walk of Punishment,14 April 2013
Marei,GoT,Walk of Punishment,14 April 2013
Kayla,GoT,Walk of Punishment,14 April 2013
Hoster Tully,GoT,Walk of Punishment,14 April 2013
Cersei Lannister,GoT,Walk of Punishment,14 April 2013
Jon Snow,GoT,Walk of Punishment,14 April 2013
Petyr 'Littlefinger' Baelish,GoT,Walk of Punishment,14 April 2013
Stannis Baratheon,GoT,Walk of Punishment,14 April 2013
Melisandre,GoT,Walk of Punishment,14 April 2013
Theon Greyjoy,GoT,Walk of Punishment,14 April 2013
Samwell Tarly,GoT,Walk of Punishment,14 April 2013
Ygritte,GoT,Walk of Punishment,14 April 2013
Jeor Mormont,GoT,Walk of Punishment,14 April 2013
Lord Varys,GoT,Walk of Punishment,14 April 2013
Sandor 'The Hound' Clegane,GoT,Walk of Punishment,14 April 2013
Craster,GoT,Walk of Punishment,14 April 2013
Barristan Selmy,GoT,Walk of Punishment,14 April 2013
Orell,GoT,Walk of Punishment,14 April 2013
Thoros of Myr,GoT,Walk of Punishment,14 April 2013
Tormund Giantsbane,GoT,Walk of Punishment,14 April 2013
Grand Maester Pycelle,GoT,Walk of Punishment,14 April 2013
Ramsay Snow,GoT,Walk of Punishment,14 April 2013
Grenn,GoT,Walk of Punishment,14 April 2013
Eddison Tollett,GoT,Walk of Punishment,14 April 2013
Rast,GoT,Walk of Punishment,14 April 2013
Karl Tanner,GoT,Walk of Punishment,14 April 2013
Gilly,GoT,Walk of Punishment,14 April 2013
Ros,GoT,Walk of Punishment,14 April 2013
Anguy,GoT,Walk of Punishment,14 April 2013
Kraznys mo Nakloz,GoT,Walk of Punishment,14 April 2013
Master Torturer,GoT,Walk of Punishment,14 April 2013
Greizhen mo Ullhor,GoT,Walk of Punishment,14 April 2013
Genna,GoT,Walk of Punishment,14 April 2013
Martyn Lannister,GoT,Walk of Punishment,14 April 2013
Willem Lannister,GoT,Walk of Punishment,14 April 2013
