CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,You Win or You Die,29 May 2011
Robert Baratheon,GoT,You Win or You Die,29 May 2011
Jaime Lannister,GoT,You Win or You Die,29 May 2011
Cersei Lannister,GoT,You Win or You Die,29 May 2011
Daenerys Targaryen,GoT,You Win or You Die,29 May 2011
Jorah Mormont,GoT,You Win or You Die,29 May 2011
Petyr 'Littlefinger' Baelish,GoT,You Win or You Die,29 May 2011
Jon Snow,GoT,You Win or You Die,29 May 2011
Maester Luwin,GoT,You Win or You Die,29 May 2011
Lord Varys,GoT,You Win or You Die,29 May 2011
Tywin Lannister,GoT,You Win or You Die,29 May 2011
Samwell Tarly,GoT,You Win or You Die,29 May 2011
Ros,GoT,You Win or You Die,29 May 2011
Pypar,GoT,You Win or You Die,29 May 2011
Irri,GoT,You Win or You Die,29 May 2011
Doreah,GoT,You Win or You Die,29 May 2011
Qotho,GoT,You Win or You Die,29 May 2011
Armeca,GoT,You Win or You Die,29 May 2011
Othell Yarwyck,GoT,You Win or You Die,29 May 2011
Khal Drogo,GoT,You Win or You Die,29 May 2011
Theon Greyjoy,GoT,You Win or You Die,29 May 2011
Joffrey Baratheon,GoT,You Win or You Die,29 May 2011
Sandor 'The Hound' Clegane,GoT,You Win or You Die,29 May 2011
Jeor Mormont,GoT,You Win or You Die,29 May 2011
Alliser Thorne,GoT,You Win or You Die,29 May 2011
Barristan Selmy,GoT,You Win or You Die,29 May 2011
Maester Aemon,GoT,You Win or You Die,29 May 2011
Grand Maester Pycelle,GoT,You Win or You Die,29 May 2011
Renly Baratheon,GoT,You Win or You Die,29 May 2011
Janos Slynt,GoT,You Win or You Die,29 May 2011
Osha,GoT,You Win or You Die,29 May 2011
Grenn,GoT,You Win or You Die,29 May 2011
Rast,GoT,You Win or You Die,29 May 2011
Rakharo,GoT,You Win or You Die,29 May 2011
Varly,GoT,You Win or You Die,29 May 2011
Jaremy Rykker,GoT,You Win or You Die,29 May 2011
Tomard,GoT,You Win or You Die,29 May 2011
