NAME 1,NAME 2
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Jaime Lannister
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Lord Varys
Eddard 'Ned' Stark,Bronn
Eddard 'Ned' Stark,Jeor Mormont
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Tywin Lannister
Eddard 'Ned' Stark,Samwell Tarly
Eddard 'Ned' Stark,Maester Aemon
Eddard 'Ned' Stark,Shae
Eddard 'Ned' Stark,Walder Frey
Eddard 'Ned' Stark,Ilyn Payne
Eddard 'Ned' Stark,Qotho
Eddard 'Ned' Stark,Khal Drogo
Eddard 'Ned' Stark,Joyeuse Frey
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Sandor 'The Hound' Clegane
Eddard 'Ned' Stark,Yoren
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Greatjon Umber
Eddard 'Ned' Stark,Grenn
Eddard 'Ned' Stark,Pypar
Eddard 'Ned' Stark,Rast
Eddard 'Ned' Stark,Shagga
Eddard 'Ned' Stark,Mirri Maz Duur
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Doreah
Eddard 'Ned' Stark,Rakharo
Eddard 'Ned' Stark,Kevan Lannister
Eddard 'Ned' Stark,Stevron Frey
Eddard 'Ned' Stark,Ryger Rivers
Catelyn Stark,Jaime Lannister
Catelyn Stark,Cersei Lannister
Catelyn Stark,Daenerys Targaryen
Catelyn Stark,Jon Snow
Catelyn Stark,Robb Stark
Catelyn Stark,Sansa Stark
Catelyn Stark,Arya Stark
Catelyn Stark,Theon Greyjoy
Catelyn Stark,Joffrey Baratheon
Catelyn Stark,Tyrion Lannister
Catelyn Stark,Lord Varys
Catelyn Stark,Bronn
Catelyn Stark,Jeor Mormont
Catelyn Stark,Rodrik Cassel
Catelyn Stark,Tywin Lannister
Catelyn Stark,Samwell Tarly
Catelyn Stark,Maester Aemon
Catelyn Stark,Shae
Catelyn Stark,Walder Frey
Catelyn Stark,Ilyn Payne
Catelyn Stark,Qotho
Catelyn Stark,Khal Drogo
Catelyn Stark,Joyeuse Frey
Catelyn Stark,Jorah Mormont
Catelyn Stark,Petyr 'Littlefinger' Baelish
Catelyn Stark,Sandor 'The Hound' Clegane
Catelyn Stark,Yoren
Catelyn Stark,Grand Maester Pycelle
Catelyn Stark,Greatjon Umber
Catelyn Stark,Grenn
Catelyn Stark,Pypar
Catelyn Stark,Rast
Catelyn Stark,Shagga
Catelyn Stark,Mirri Maz Duur
Catelyn Stark,Irri
Catelyn Stark,Doreah
Catelyn Stark,Rakharo
Catelyn Stark,Kevan Lannister
Catelyn Stark,Stevron Frey
Catelyn Stark,Ryger Rivers
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Jon Snow
Jaime Lannister,Robb Stark
Jaime Lannister,Sansa Stark
Jaime Lannister,Arya Stark
Jaime Lannister,Theon Greyjoy
Jaime Lannister,Joffrey Baratheon
Jaime Lannister,Tyrion Lannister
Jaime Lannister,Lord Varys
Jaime Lannister,Bronn
Jaime Lannister,Jeor Mormont
Jaime Lannister,Rodrik Cassel
Jaime Lannister,Tywin Lannister
Jaime Lannister,Samwell Tarly
Jaime Lannister,Maester Aemon
Jaime Lannister,Shae
Jaime Lannister,Walder Frey
Jaime Lannister,Ilyn Payne
Jaime Lannister,Qotho
Jaime Lannister,Khal Drogo
Jaime Lannister,Joyeuse Frey
Jaime Lannister,Jorah Mormont
Jaime Lannister,Petyr 'Littlefinger' Baelish
Jaime Lannister,Sandor 'The Hound' Clegane
Jaime Lannister,Yoren
Jaime Lannister,Grand Maester Pycelle
Jaime Lannister,Greatjon Umber
Jaime Lannister,Grenn
Jaime Lannister,Pypar
Jaime Lannister,Rast
Jaime Lannister,Shagga
Jaime Lannister,Mirri Maz Duur
Jaime Lannister,Irri
Jaime Lannister,Doreah
Jaime Lannister,Rakharo
Jaime Lannister,Kevan Lannister
Jaime Lannister,Stevron Frey
Jaime Lannister,Ryger Rivers
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jon Snow
Cersei Lannister,Robb Stark
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Theon Greyjoy
Cersei Lannister,Joffrey Baratheon
Cersei Lannister,Tyrion Lannister
Cersei Lannister,Lord Varys
Cersei Lannister,Bronn
Cersei Lannister,Jeor Mormont
Cersei Lannister,Rodrik Cassel
Cersei Lannister,Tywin Lannister
Cersei Lannister,Samwell Tarly
Cersei Lannister,Maester Aemon
Cersei Lannister,Shae
Cersei Lannister,Walder Frey
Cersei Lannister,Ilyn Payne
Cersei Lannister,Qotho
Cersei Lannister,Khal Drogo
Cersei Lannister,Joyeuse Frey
Cersei Lannister,Jorah Mormont
