NAME 1,NAME 2
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Joffrey Baratheon
Tyrion Lannister,Sansa Stark
Tyrion Lannister,Sandor 'The Hound' Clegane
Tyrion Lannister,Stannis Baratheon
Tyrion Lannister,Bronn
Tyrion Lannister,Lord Varys
Tyrion Lannister,Shae
Tyrion Lannister,Hallyne
Tyrion Lannister,Grand Maester Pycelle
Tyrion Lannister,Lancel Lannister
Tyrion Lannister,Matthos Seaworth
Tyrion Lannister,Armeca
Tyrion Lannister,Podrick Payne
Tyrion Lannister,Imry Florent
Tyrion Lannister,Tywin Lannister
Tyrion Lannister,Davos Seaworth
Tyrion Lannister,Loras Tyrell
Tyrion Lannister,Dontos Hollard
Tyrion Lannister,Ilyn Payne
Tyrion Lannister,Tommen Baratheon
Tyrion Lannister,Mandon Moore
Cersei Lannister,Joffrey Baratheon
Cersei Lannister,Sansa Stark
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Stannis Baratheon
Cersei Lannister,Bronn
Cersei Lannister,Lord Varys
Cersei Lannister,Shae
Cersei Lannister,Hallyne
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Lancel Lannister
Cersei Lannister,Matthos Seaworth
Cersei Lannister,Armeca
Cersei Lannister,Podrick Payne
Cersei Lannister,Imry Florent
Cersei Lannister,Tywin Lannister
Cersei Lannister,Davos Seaworth
Cersei Lannister,Loras Tyrell
Cersei Lannister,Dontos Hollard
Cersei Lannister,Ilyn Payne
Cersei Lannister,Tommen Baratheon
Cersei Lannister,Mandon Moore
Joffrey Baratheon,Sansa Stark
Joffrey Baratheon,Sandor 'The Hound' Clegane
Joffrey Baratheon,Stannis Baratheon
Joffrey Baratheon,Bronn
Joffrey Baratheon,Lord Varys
Joffrey Baratheon,Shae
Joffrey Baratheon,Hallyne
Joffrey Baratheon,Grand Maester Pycelle
Joffrey Baratheon,Lancel Lannister
Joffrey Baratheon,Matthos Seaworth
Joffrey Baratheon,Armeca
Joffrey Baratheon,Podrick Payne
Joffrey Baratheon,Imry Florent
Joffrey Baratheon,Tywin Lannister
Joffrey Baratheon,Davos Seaworth
Joffrey Baratheon,Loras Tyrell
Joffrey Baratheon,Dontos Hollard
Joffrey Baratheon,Ilyn Payne
Joffrey Baratheon,Tommen Baratheon
Joffrey Baratheon,Mandon Moore
Sansa Stark,Sandor 'The Hound' Clegane
Sansa Stark,Stannis Baratheon
Sansa Stark,Bronn
Sansa Stark,Lord Varys
Sansa Stark,Shae
Sansa Stark,Hallyne
Sansa Stark,Grand Maester Pycelle
Sansa Stark,Lancel Lannister
Sansa Stark,Matthos Seaworth
Sansa Stark,Armeca
Sansa Stark,Podrick Payne
Sansa Stark,Imry Florent
Sansa Stark,Tywin Lannister
Sansa Stark,Davos Seaworth
Sansa Stark,Loras Tyrell
Sansa Stark,Dontos Hollard
Sansa Stark,Ilyn Payne
Sansa Stark,Tommen Baratheon
Sansa Stark,Mandon Moore
Sandor 'The Hound' Clegane,Stannis Baratheon
Sandor 'The Hound' Clegane,Bronn
Sandor 'The Hound' Clegane,Lord Varys
Sandor 'The Hound' Clegane,Shae
Sandor 'The Hound' Clegane,Hallyne
Sandor 'The Hound' Clegane,Grand Maester Pycelle
Sandor 'The Hound' Clegane,Lancel Lannister
Sandor 'The Hound' Clegane,Matthos Seaworth
Sandor 'The Hound' Clegane,Armeca
Sandor 'The Hound' Clegane,Podrick Payne
Sandor 'The Hound' Clegane,Imry Florent
Sandor 'The Hound' Clegane,Tywin Lannister
Sandor 'The Hound' Clegane,Davos Seaworth
Sandor 'The Hound' Clegane,Loras Tyrell
Sandor 'The Hound' Clegane,Dontos Hollard
Sandor 'The Hound' Clegane,Ilyn Payne
