NAME 1,NAME 2
Eddard 'Ned' Stark,Robert Baratheon
Eddard 'Ned' Stark,Jaime Lannister
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Viserys Targaryen
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Bran Stark
Eddard 'Ned' Stark,Sandor 'The Hound' Clegane
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Alliser Thorne
Eddard 'Ned' Stark,Jory Cassel
Eddard 'Ned' Stark,Septa Mordane
Eddard 'Ned' Stark,Samwell Tarly
Eddard 'Ned' Stark,Grenn
Eddard 'Ned' Stark,Pypar
Eddard 'Ned' Stark,Rast
Eddard 'Ned' Stark,Doreah
Eddard 'Ned' Stark,Hodor
Eddard 'Ned' Stark,Hugh of the Vale
Eddard 'Ned' Stark,Gendry
Eddard 'Ned' Stark,Tobho Mott
Eddard 'Ned' Stark,Kurleket
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Maester Luwin
Eddard 'Ned' Stark,Lord Varys
Eddard 'Ned' Stark,Bronn
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Yoren
Eddard 'Ned' Stark,Barristan Selmy
Eddard 'Ned' Stark,Janos Slynt
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Renly Baratheon
Eddard 'Ned' Stark,Marillion
Eddard 'Ned' Stark,Old Nan
Eddard 'Ned' Stark,Gregor Clegane
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Tommen Baratheon
Eddard 'Ned' Stark,Myrcella Baratheon
Eddard 'Ned' Stark,Willis Wode
Eddard 'Ned' Stark,Masha Heddle
Eddard 'Ned' Stark,Khal Drogo
Robert Baratheon,Jaime Lannister
Robert Baratheon,Cersei Lannister
Robert Baratheon,Daenerys Targaryen
Robert Baratheon,Jorah Mormont
Robert Baratheon,Petyr 'Littlefinger' Baelish
Robert Baratheon,Viserys Targaryen
Robert Baratheon,Jon Snow
Robert Baratheon,Sansa Stark
Robert Baratheon,Arya Stark
Robert Baratheon,Robb Stark
Robert Baratheon,Theon Greyjoy
Robert Baratheon,Bran Stark
Robert Baratheon,Sandor 'The Hound' Clegane
Robert Baratheon,Tyrion Lannister
Robert Baratheon,Alliser Thorne
Robert Baratheon,Jory Cassel
Robert Baratheon,Septa Mordane
Robert Baratheon,Samwell Tarly
Robert Baratheon,Grenn
Robert Baratheon,Pypar
