NAME 1,NAME 2
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jon Snow
Cersei Lannister,Tywin Lannister
Cersei Lannister,Margaery Tyrell
Cersei Lannister,Bran Stark
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Jorah Mormont
Cersei Lannister,Oberyn Martell
Cersei Lannister,Daario Naharis
Cersei Lannister,Karl Tanner
Cersei Lannister,Lysa Arryn
Cersei Lannister,Barristan Selmy
Cersei Lannister,Jojen Reed
Cersei Lannister,Morag
Cersei Lannister,Sissy
Cersei Lannister,Jaime Lannister
Cersei Lannister,Petyr 'Littlefinger' Baelish
Cersei Lannister,Brienne of Tarth
Cersei Lannister,Lord Varys
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Locke
Cersei Lannister,Mace Tyrell
Cersei Lannister,Meera Reed
Cersei Lannister,Missandei
Cersei Lannister,Grey Worm
Cersei Lannister,Tommen Baratheon
Cersei Lannister,Podrick Payne
Cersei Lannister,Loras Tyrell
Cersei Lannister,Hodor
Cersei Lannister,Grenn
Cersei Lannister,Eddison Tollett
Cersei Lannister,Rast
Cersei Lannister,Robin Arryn
Cersei Lannister,High Septon
Cersei Lannister,Donnel Waynwood
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Tywin Lannister
Daenerys Targaryen,Margaery Tyrell
Daenerys Targaryen,Bran Stark
Daenerys Targaryen,Sansa Stark
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Jorah Mormont
Daenerys Targaryen,Oberyn Martell
Daenerys Targaryen,Daario Naharis
Daenerys Targaryen,Karl Tanner
Daenerys Targaryen,Lysa Arryn
Daenerys Targaryen,Barristan Selmy
Daenerys Targaryen,Jojen Reed
Daenerys Targaryen,Morag
Daenerys Targaryen,Sissy
Daenerys Targaryen,Jaime Lannister
Daenerys Targaryen,Petyr 'Littlefinger' Baelish
Daenerys Targaryen,Brienne of Tarth
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Grand Maester Pycelle
Daenerys Targaryen,Locke
Daenerys Targaryen,Mace Tyrell
Daenerys Targaryen,Meera Reed
Daenerys Targaryen,Missandei
Daenerys Targaryen,Grey Worm
Daenerys Targaryen,Tommen Baratheon
Daenerys Targaryen,Podrick Payne
Daenerys Targaryen,Loras Tyrell
Daenerys Targaryen,Hodor
Daenerys Targaryen,Grenn
Daenerys Targaryen,Eddison Tollett
Daenerys Targaryen,Rast
Daenerys Targaryen,Robin Arryn
Daenerys Targaryen,High Septon
Daenerys Targaryen,Donnel Waynwood
Jon Snow,Tywin Lannister
Jon Snow,Margaery Tyrell
Jon Snow,Bran Stark
Jon Snow,Sansa Stark
Jon Snow,Arya Stark
Jon Snow,Sandor 'The Hound' Clegane
Jon Snow,Jorah Mormont
Jon Snow,Oberyn Martell
Jon Snow,Daario Naharis
Jon Snow,Karl Tanner
Jon Snow,Lysa Arryn
Jon Snow,Barristan Selmy
Jon Snow,Jojen Reed
Jon Snow,Morag
Jon Snow,Sissy
Jon Snow,Jaime Lannister
Jon Snow,Petyr 'Littlefinger' Baelish
Jon Snow,Brienne of Tarth
Jon Snow,Lord Varys
Jon Snow,Grand Maester Pycelle
Jon Snow,Locke
Jon Snow,Mace Tyrell
Jon Snow,Meera Reed
Jon Snow,Missandei
Jon Snow,Grey Worm
Jon Snow,Tommen Baratheon
Jon Snow,Podrick Payne
Jon Snow,Loras Tyrell
Jon Snow,Hodor
Jon Snow,Grenn
Jon Snow,Eddison Tollett
Jon Snow,Rast
Jon Snow,Robin Arryn
Jon Snow,High Septon
Jon Snow,Donnel Waynwood
Tywin Lannister,Margaery Tyrell
Tywin Lannister,Bran Stark
Tywin Lannister,Sansa Stark
Tywin Lannister,Arya Stark
Tywin Lannister,Sandor 'The Hound' Clegane
Tywin Lannister,Jorah Mormont
Tywin Lannister,Oberyn Martell
Tywin Lannister,Daario Naharis
Tywin Lannister,Karl Tanner
Tywin Lannister,Lysa Arryn
Tywin Lannister,Barristan Selmy
Tywin Lannister,Jojen Reed
Tywin Lannister,Morag
Tywin Lannister,Sissy
Tywin Lannister,Jaime Lannister
Tywin Lannister,Petyr 'Littlefinger' Baelish
Tywin Lannister,Brienne of Tarth
Tywin Lannister,Lord Varys
Tywin Lannister,Grand Maester Pycelle
Tywin Lannister,Locke
Tywin Lannister,Mace Tyrell
Tywin Lannister,Meera Reed
Tywin Lannister,Missandei
Tywin Lannister,Grey Worm
Tywin Lannister,Tommen Baratheon
Tywin Lannister,Podrick Payne
Tywin Lannister,Loras Tyrell
Tywin Lannister,Hodor
Tywin Lannister,Grenn
Tywin Lannister,Eddison Tollett
Tywin Lannister,Rast
Tywin Lannister,Robin Arryn
Tywin Lannister,High Septon
Tywin Lannister,Donnel Waynwood
Margaery Tyrell,Bran Stark
Margaery Tyrell,Sansa Stark
Margaery Tyrell,Arya Stark
Margaery Tyrell,Sandor 'The Hound' Clegane
Margaery Tyrell,Jorah Mormont
Margaery Tyrell,Oberyn Martell
Margaery Tyrell,Daario Naharis
Margaery Tyrell,Karl Tanner
Margaery Tyrell,Lysa Arryn
Margaery Tyrell,Barristan Selmy
Margaery Tyrell,Jojen Reed
Margaery Tyrell,Morag
Margaery Tyrell,Sissy
Margaery Tyrell,Jaime Lannister
Margaery Tyrell,Petyr 'Littlefinger' Baelish
Margaery Tyrell,Brienne of Tarth
Margaery Tyrell,Lord Varys
Margaery Tyrell,Grand Maester Pycelle
Margaery Tyrell,Locke
Margaery Tyrell,Mace Tyrell
Margaery Tyrell,Meera Reed
Margaery Tyrell,Missandei
Margaery Tyrell,Grey Worm
Margaery Tyrell,Tommen Baratheon
Margaery Tyrell,Podrick Payne
Margaery Tyrell,Loras Tyrell
Margaery Tyrell,Hodor
Margaery Tyrell,Grenn
Margaery Tyrell,Eddison Tollett
Margaery Tyrell,Rast
Margaery Tyrell,Robin Arryn
Margaery Tyrell,High Septon
Margaery Tyrell,Donnel Waynwood
Bran Stark,Sansa Stark
Bran Stark,Arya Stark
Bran Stark,Sandor 'The Hound' Clegane
Bran Stark,Jorah Mormont
Bran Stark,Oberyn Martell
Bran Stark,Daario Naharis
Bran Stark,Karl Tanner
Bran Stark,Lysa Arryn
Bran Stark,Barristan Selmy
Bran Stark,Jojen Reed
Bran Stark,Morag
Bran Stark,Sissy
Bran Stark,Jaime Lannister
Bran Stark,Petyr 'Littlefinger' Baelish
Bran Stark,Brienne of Tarth
Bran Stark,Lord Varys
Bran Stark,Grand Maester Pycelle
Bran Stark,Locke
Bran Stark,Mace Tyrell
Bran Stark,Meera Reed
Bran Stark,Missandei
Bran Stark,Grey Worm
Bran Stark,Tommen Baratheon
Bran Stark,Podrick Payne
Bran Stark,Loras Tyrell
Bran Stark,Hodor
Bran Stark,Grenn
Bran Stark,Eddison Tollett
Bran Stark,Rast
Bran Stark,Robin Arryn
Bran Stark,High Septon
Bran Stark,Donnel Waynwood
Sansa Stark,Arya Stark
Sansa Stark,Sandor 'The Hound' Clegane
Sansa Stark,Jorah Mormont
Sansa Stark,Oberyn Martell
Sansa Stark,Daario Naharis
Sansa Stark,Karl Tanner
Sansa Stark,Lysa Arryn
Sansa Stark,Barristan Selmy
Sansa Stark,Jojen Reed
Sansa Stark,Morag
Sansa Stark,Sissy
Sansa Stark,Jaime Lannister
Sansa Stark,Petyr 'Littlefinger' Baelish
Sansa Stark,Brienne of Tarth
Sansa Stark,Lord Varys
Sansa Stark,Grand Maester Pycelle
Sansa Stark,Locke
Sansa Stark,Mace Tyrell
Sansa Stark,Meera Reed
Sansa Stark,Missandei
Sansa Stark,Grey Worm
Sansa Stark,Tommen Baratheon
Sansa Stark,Podrick Payne
