NAME 1,NAME 2
Eddard 'Ned' Stark,Robert Baratheon
Eddard 'Ned' Stark,Jaime Lannister
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Viserys Targaryen
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Bran Stark
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Lord Varys
Eddard 'Ned' Stark,Barristan Selmy
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Benjen Stark
Eddard 'Ned' Stark,Yoren
Eddard 'Ned' Stark,Maester Aemon
Eddard 'Ned' Stark,Syrio Forel
Eddard 'Ned' Stark,Old Nan
Eddard 'Ned' Stark,Rakharo
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Jeor Mormont
Eddard 'Ned' Stark,Alliser Thorne
Eddard 'Ned' Stark,Jory Cassel
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Renly Baratheon
Eddard 'Ned' Stark,Septa Mordane
Eddard 'Ned' Stark,Grenn
Eddard 'Ned' Stark,Pypar
Eddard 'Ned' Stark,Rast
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Lancel Lannister
Eddard 'Ned' Stark,Khal Drogo
Robert Baratheon,Jaime Lannister
Robert Baratheon,Catelyn Stark
Robert Baratheon,Cersei Lannister
Robert Baratheon,Daenerys Targaryen
Robert Baratheon,Petyr 'Littlefinger' Baelish
Robert Baratheon,Viserys Targaryen
Robert Baratheon,Jon Snow
Robert Baratheon,Arya Stark
Robert Baratheon,Bran Stark
Robert Baratheon,Joffrey Baratheon
Robert Baratheon,Tyrion Lannister
Robert Baratheon,Lord Varys
Robert Baratheon,Barristan Selmy
Robert Baratheon,Rodrik Cassel
Robert Baratheon,Benjen Stark
Robert Baratheon,Yoren
Robert Baratheon,Maester Aemon
Robert Baratheon,Syrio Forel
Robert Baratheon,Old Nan
Robert Baratheon,Rakharo
Robert Baratheon,Jorah Mormont
Robert Baratheon,Sansa Stark
Robert Baratheon,Robb Stark
Robert Baratheon,Jeor Mormont
Robert Baratheon,Alliser Thorne
Robert Baratheon,Jory Cassel
Robert Baratheon,Grand Maester Pycelle
Robert Baratheon,Renly Baratheon
Robert Baratheon,Septa Mordane
Robert Baratheon,Grenn
Robert Baratheon,Pypar
Robert Baratheon,Rast
Robert Baratheon,Irri
Robert Baratheon,Lancel Lannister
Robert Baratheon,Khal Drogo
Jaime Lannister,Catelyn Stark
