NAME 1,NAME 2
Tyrion Lannister,Jaime Lannister
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Daenerys Targaryen
Tyrion Lannister,Jon Snow
Tyrion Lannister,Jorah Mormont
Tyrion Lannister,Tywin Lannister
Tyrion Lannister,Davos Seaworth
Tyrion Lannister,Stannis Baratheon
Tyrion Lannister,Melisandre
Tyrion Lannister,Bran Stark
Tyrion Lannister,Sansa Stark
Tyrion Lannister,Arya Stark
Tyrion Lannister,Theon Greyjoy
Tyrion Lannister,Joffrey Baratheon
Tyrion Lannister,Ygritte
Tyrion Lannister,Samwell Tarly
Tyrion Lannister,Gendry
Tyrion Lannister,Sandor 'The Hound' Clegane
Tyrion Lannister,Lord Varys
Tyrion Lannister,Shae
Tyrion Lannister,Walder Frey
Tyrion Lannister,Balon Greyjoy
Tyrion Lannister,Roose Bolton
Tyrion Lannister,Ramsay Snow
Tyrion Lannister,Barristan Selmy
Tyrion Lannister,Jojen Reed
Tyrion Lannister,Yara Greyjoy
Tyrion Lannister,Podrick Payne
Tyrion Lannister,Daario Naharis
Tyrion Lannister,Missandei
Tyrion Lannister,Shireen Baratheon
Tyrion Lannister,Maester Aemon
Tyrion Lannister,Grand Maester Pycelle
Tyrion Lannister,Brienne of Tarth
Tyrion Lannister,Qyburn
Tyrion Lannister,Gilly
Tyrion Lannister,Meera Reed
Tyrion Lannister,Hodor
Tyrion Lannister,Grey Worm
Tyrion Lannister,Pypar
Tyrion Lannister,Desmond Crakehall
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Jon Snow
Jaime Lannister,Jorah Mormont
Jaime Lannister,Tywin Lannister
Jaime Lannister,Davos Seaworth
Jaime Lannister,Stannis Baratheon
Jaime Lannister,Melisandre
Jaime Lannister,Bran Stark
Jaime Lannister,Sansa Stark
Jaime Lannister,Arya Stark
Jaime Lannister,Theon Greyjoy
Jaime Lannister,Joffrey Baratheon
Jaime Lannister,Ygritte
Jaime Lannister,Samwell Tarly
Jaime Lannister,Gendry
Jaime Lannister,Sandor 'The Hound' Clegane
Jaime Lannister,Lord Varys
Jaime Lannister,Shae
Jaime Lannister,Walder Frey
Jaime Lannister,Balon Greyjoy
Jaime Lannister,Roose Bolton
Jaime Lannister,Ramsay Snow
Jaime Lannister,Barristan Selmy
Jaime Lannister,Jojen Reed
Jaime Lannister,Yara Greyjoy
Jaime Lannister,Podrick Payne
Jaime Lannister,Daario Naharis
Jaime Lannister,Missandei
Jaime Lannister,Shireen Baratheon
Jaime Lannister,Maester Aemon
Jaime Lannister,Grand Maester Pycelle
Jaime Lannister,Brienne of Tarth
Jaime Lannister,Qyburn
Jaime Lannister,Gilly
Jaime Lannister,Meera Reed
Jaime Lannister,Hodor
Jaime Lannister,Grey Worm
Jaime Lannister,Pypar
Jaime Lannister,Desmond Crakehall
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jon Snow
Cersei Lannister,Jorah Mormont
Cersei Lannister,Tywin Lannister
Cersei Lannister,Davos Seaworth
Cersei Lannister,Stannis Baratheon
Cersei Lannister,Melisandre
Cersei Lannister,Bran Stark
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Theon Greyjoy
Cersei Lannister,Joffrey Baratheon
Cersei Lannister,Ygritte
Cersei Lannister,Samwell Tarly
Cersei Lannister,Gendry
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Lord Varys
Cersei Lannister,Shae
Cersei Lannister,Walder Frey
Cersei Lannister,Balon Greyjoy
Cersei Lannister,Roose Bolton
Cersei Lannister,Ramsay Snow
Cersei Lannister,Barristan Selmy
Cersei Lannister,Jojen Reed
Cersei Lannister,Yara Greyjoy
Cersei Lannister,Podrick Payne
Cersei Lannister,Daario Naharis
Cersei Lannister,Missandei
Cersei Lannister,Shireen Baratheon
Cersei Lannister,Maester Aemon
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Brienne of Tarth
Cersei Lannister,Qyburn
Cersei Lannister,Gilly
Cersei Lannister,Meera Reed
Cersei Lannister,Hodor
Cersei Lannister,Grey Worm
Cersei Lannister,Pypar
Cersei Lannister,Desmond Crakehall
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Jorah Mormont
Daenerys Targaryen,Tywin Lannister
Daenerys Targaryen,Davos Seaworth
Daenerys Targaryen,Stannis Baratheon
Daenerys Targaryen,Melisandre
Daenerys Targaryen,Bran Stark
Daenerys Targaryen,Sansa Stark
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Theon Greyjoy
Daenerys Targaryen,Joffrey Baratheon
Daenerys Targaryen,Ygritte
Daenerys Targaryen,Samwell Tarly
Daenerys Targaryen,Gendry
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Shae
Daenerys Targaryen,Walder Frey
Daenerys Targaryen,Balon Greyjoy
Daenerys Targaryen,Roose Bolton
Daenerys Targaryen,Ramsay Snow
Daenerys Targaryen,Barristan Selmy
Daenerys Targaryen,Jojen Reed
Daenerys Targaryen,Yara Greyjoy
Daenerys Targaryen,Podrick Payne
Daenerys Targaryen,Daario Naharis
Daenerys Targaryen,Missandei
Daenerys Targaryen,Shireen Baratheon
Daenerys Targaryen,Maester Aemon
Daenerys Targaryen,Grand Maester Pycelle
Daenerys Targaryen,Brienne of Tarth
Daenerys Targaryen,Qyburn
Daenerys Targaryen,Gilly
Daenerys Targaryen,Meera Reed
Daenerys Targaryen,Hodor
Daenerys Targaryen,Grey Worm
Daenerys Targaryen,Pypar
Daenerys Targaryen,Desmond Crakehall
Jon Snow,Jorah Mormont
Jon Snow,Tywin Lannister
Jon Snow,Davos Seaworth
Jon Snow,Stannis Baratheon
Jon Snow,Melisandre
Jon Snow,Bran Stark
Jon Snow,Sansa Stark
Jon Snow,Arya Stark
Jon Snow,Theon Greyjoy
Jon Snow,Joffrey Baratheon
Jon Snow,Ygritte
Jon Snow,Samwell Tarly
Jon Snow,Gendry
Jon Snow,Sandor 'The Hound' Clegane
Jon Snow,Lord Varys
Jon Snow,Shae
Jon Snow,Walder Frey
Jon Snow,Balon Greyjoy
Jon Snow,Roose Bolton
Jon Snow,Ramsay Snow
Jon Snow,Barristan Selmy
Jon Snow,Jojen Reed
Jon Snow,Yara Greyjoy
Jon Snow,Podrick Payne
Jon Snow,Daario Naharis
Jon Snow,Missandei
Jon Snow,Shireen Baratheon
Jon Snow,Maester Aemon
Jon Snow,Grand Maester Pycelle
Jon Snow,Brienne of Tarth
Jon Snow,Qyburn
Jon Snow,Gilly
Jon Snow,Meera Reed
Jon Snow,Hodor
Jon Snow,Grey Worm
Jon Snow,Pypar
Jon Snow,Desmond Crakehall
Jorah Mormont,Tywin Lannister
Jorah Mormont,Davos Seaworth
Jorah Mormont,Stannis Baratheon
Jorah Mormont,Melisandre
Jorah Mormont,Bran Stark
Jorah Mormont,Sansa Stark
Jorah Mormont,Arya Stark
Jorah Mormont,Theon Greyjoy
Jorah Mormont,Joffrey Baratheon
Jorah Mormont,Ygritte
Jorah Mormont,Samwell Tarly
Jorah Mormont,Gendry
Jorah Mormont,Sandor 'The Hound' Clegane
Jorah Mormont,Lord Varys
Jorah Mormont,Shae
Jorah Mormont,Walder Frey
Jorah Mormont,Balon Greyjoy
Jorah Mormont,Roose Bolton
Jorah Mormont,Ramsay Snow
Jorah Mormont,Barristan Selmy
Jorah Mormont,Jojen Reed
Jorah Mormont,Yara Greyjoy
Jorah Mormont,Podrick Payne
Jorah Mormont,Daario Naharis
Jorah Mormont,Missandei
Jorah Mormont,Shireen Baratheon
Jorah Mormont,Maester Aemon
Jorah Mormont,Grand Maester Pycelle
Jorah Mormont,Brienne of Tarth
Jorah Mormont,Qyburn
Jorah Mormont,Gilly
Jorah Mormont,Meera Reed
Jorah Mormont,Hodor
Jorah Mormont,Grey Worm
Jorah Mormont,Pypar
Jorah Mormont,Desmond Crakehall
Tywin Lannister,Davos Seaworth
Tywin Lannister,Stannis Baratheon
Tywin Lannister,Melisandre
Tywin Lannister,Bran Stark
Tywin Lannister,Sansa Stark
Tywin Lannister,Arya Stark
Tywin Lannister,Theon Greyjoy
Tywin Lannister,Joffrey Baratheon
Tywin Lannister,Ygritte
Tywin Lannister,Samwell Tarly
Tywin Lannister,Gendry
Tywin Lannister,Sandor 'The Hound' Clegane
Tywin Lannister,Lord Varys
Tywin Lannister,Shae
Tywin Lannister,Walder Frey
Tywin Lannister,Balon Greyjoy
Tywin Lannister,Roose Bolton
Tywin Lannister,Ramsay Snow
Tywin Lannister,Barristan Selmy
Tywin Lannister,Jojen Reed
Tywin Lannister,Yara Greyjoy
Tywin Lannister,Podrick Payne
Tywin Lannister,Daario Naharis
Tywin Lannister,Missandei
Tywin Lannister,Shireen Baratheon
Tywin Lannister,Maester Aemon
Tywin Lannister,Grand Maester Pycelle
Tywin Lannister,Brienne of Tarth
Tywin Lannister,Qyburn
Tywin Lannister,Gilly
Tywin Lannister,Meera Reed
Tywin Lannister,Hodor
Tywin Lannister,Grey Worm
Tywin Lannister,Pypar
Tywin Lannister,Desmond Crakehall
Davos Seaworth,Stannis Baratheon
Davos Seaworth,Melisandre
Davos Seaworth,Bran Stark
Davos Seaworth,Sansa Stark
Davos Seaworth,Arya Stark
