NAME 1,NAME 2
Tyrion Lannister,Jaime Lannister
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Daenerys Targaryen
Tyrion Lannister,Missandei
Tyrion Lannister,Arya Stark
Tyrion Lannister,Lord Varys
Tyrion Lannister,Sandor 'The Hound' Clegane
Tyrion Lannister,Bronn
Tyrion Lannister,Brienne of Tarth
Tyrion Lannister,Jaqen H'ghar
Tyrion Lannister,Tommen Baratheon
Tyrion Lannister,Lady Crane
Tyrion Lannister,Grand Maester Pycelle
Tyrion Lannister,Qyburn
Tyrion Lannister,Kevan Lannister
Tyrion Lannister,The Waif
Tyrion Lannister,Grey Worm
Tyrion Lannister,Beric Dondarrion
Tyrion Lannister,Thoros of Myr
Tyrion Lannister,Brynden 'Blackfish' Tully
Tyrion Lannister,Edmure Tully
Tyrion Lannister,Podrick Payne
Tyrion Lannister,Lancel Lannister
Tyrion Lannister,Gregor Clegane
Tyrion Lannister,Lem Lemoncloak
Tyrion Lannister,Gatins
Tyrion Lannister,Steve
Tyrion Lannister,Brotherhood Member
Tyrion Lannister,Izembaro
Tyrion Lannister,Black Walder Rivers
Tyrion Lannister,Lothar Frey
Tyrion Lannister,Mace Tyrell
Tyrion Lannister,Bobono
Tyrion Lannister,Clarenzo
Tyrion Lannister,Tully Bannerman
Tyrion Lannister,Morgan
Tyrion Lannister,Riddell
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Missandei
Jaime Lannister,Arya Stark
Jaime Lannister,Lord Varys
Jaime Lannister,Sandor 'The Hound' Clegane
Jaime Lannister,Bronn
Jaime Lannister,Brienne of Tarth
Jaime Lannister,Jaqen H'ghar
Jaime Lannister,Tommen Baratheon
Jaime Lannister,Lady Crane
Jaime Lannister,Grand Maester Pycelle
Jaime Lannister,Qyburn
Jaime Lannister,Kevan Lannister
Jaime Lannister,The Waif
Jaime Lannister,Grey Worm
Jaime Lannister,Beric Dondarrion
Jaime Lannister,Thoros of Myr
Jaime Lannister,Brynden 'Blackfish' Tully
Jaime Lannister,Edmure Tully
Jaime Lannister,Podrick Payne
Jaime Lannister,Lancel Lannister
Jaime Lannister,Gregor Clegane
Jaime Lannister,Lem Lemoncloak
Jaime Lannister,Gatins
Jaime Lannister,Steve
Jaime Lannister,Brotherhood Member
Jaime Lannister,Izembaro
Jaime Lannister,Black Walder Rivers
Jaime Lannister,Lothar Frey
Jaime Lannister,Mace Tyrell
Jaime Lannister,Bobono
Jaime Lannister,Clarenzo
Jaime Lannister,Tully Bannerman
Jaime Lannister,Morgan
Jaime Lannister,Riddell
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Missandei
Cersei Lannister,Arya Stark
Cersei Lannister,Lord Varys
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Bronn
Cersei Lannister,Brienne of Tarth
Cersei Lannister,Jaqen H'ghar
Cersei Lannister,Tommen Baratheon
Cersei Lannister,Lady Crane
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Qyburn
Cersei Lannister,Kevan Lannister
Cersei Lannister,The Waif
Cersei Lannister,Grey Worm
Cersei Lannister,Beric Dondarrion
Cersei Lannister,Thoros of Myr
Cersei Lannister,Brynden 'Blackfish' Tully
Cersei Lannister,Edmure Tully
Cersei Lannister,Podrick Payne
Cersei Lannister,Lancel Lannister
Cersei Lannister,Gregor Clegane
Cersei Lannister,Lem Lemoncloak
Cersei Lannister,Gatins
Cersei Lannister,Steve
Cersei Lannister,Brotherhood Member
Cersei Lannister,Izembaro
Cersei Lannister,Black Walder Rivers
Cersei Lannister,Lothar Frey
Cersei Lannister,Mace Tyrell
Cersei Lannister,Bobono
Cersei Lannister,Clarenzo
Cersei Lannister,Tully Bannerman
Cersei Lannister,Morgan
Cersei Lannister,Riddell
Daenerys Targaryen,Missandei
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Bronn
Daenerys Targaryen,Brienne of Tarth
Daenerys Targaryen,Jaqen H'ghar
Daenerys Targaryen,Tommen Baratheon
Daenerys Targaryen,Lady Crane
Daenerys Targaryen,Grand Maester Pycelle
Daenerys Targaryen,Qyburn
Daenerys Targaryen,Kevan Lannister
Daenerys Targaryen,The Waif
Daenerys Targaryen,Grey Worm
Daenerys Targaryen,Beric Dondarrion
Daenerys Targaryen,Thoros of Myr
Daenerys Targaryen,Brynden 'Blackfish' Tully
Daenerys Targaryen,Edmure Tully
Daenerys Targaryen,Podrick Payne
Daenerys Targaryen,Lancel Lannister
Daenerys Targaryen,Gregor Clegane
Daenerys Targaryen,Lem Lemoncloak
Daenerys Targaryen,Gatins
Daenerys Targaryen,Steve
Daenerys Targaryen,Brotherhood Member
Daenerys Targaryen,Izembaro
Daenerys Targaryen,Black Walder Rivers
Daenerys Targaryen,Lothar Frey
Daenerys Targaryen,Mace Tyrell
Daenerys Targaryen,Bobono
Daenerys Targaryen,Clarenzo
Daenerys Targaryen,Tully Bannerman
Daenerys Targaryen,Morgan
Daenerys Targaryen,Riddell
Missandei,Arya Stark
Missandei,Lord Varys
Missandei,Sandor 'The Hound' Clegane
Missandei,Bronn
Missandei,Brienne of Tarth
Missandei,Jaqen H'ghar
Missandei,Tommen Baratheon
Missandei,Lady Crane
Missandei,Grand Maester Pycelle
Missandei,Qyburn
Missandei,Kevan Lannister
Missandei,The Waif
Missandei,Grey Worm
Missandei,Beric Dondarrion
Missandei,Thoros of Myr
Missandei,Brynden 'Blackfish' Tully
Missandei,Edmure Tully
Missandei,Podrick Payne
Missandei,Lancel Lannister
Missandei,Gregor Clegane
Missandei,Lem Lemoncloak
Missandei,Gatins
Missandei,Steve
Missandei,Brotherhood Member
Missandei,Izembaro
Missandei,Black Walder Rivers
Missandei,Lothar Frey
Missandei,Mace Tyrell
Missandei,Bobono
Missandei,Clarenzo
Missandei,Tully Bannerman
Missandei,Morgan
Missandei,Riddell
Arya Stark,Lord Varys
Arya Stark,Sandor 'The Hound' Clegane
Arya Stark,Bronn
Arya Stark,Brienne of Tarth
Arya Stark,Jaqen H'ghar
Arya Stark,Tommen Baratheon
Arya Stark,Lady Crane
Arya Stark,Grand Maester Pycelle
Arya Stark,Qyburn
Arya Stark,Kevan Lannister
Arya Stark,The Waif
Arya Stark,Grey Worm
Arya Stark,Beric Dondarrion
Arya Stark,Thoros of Myr
Arya Stark,Brynden 'Blackfish' Tully
Arya Stark,Edmure Tully
Arya Stark,Podrick Payne
Arya Stark,Lancel Lannister
Arya Stark,Gregor Clegane
Arya Stark,Lem Lemoncloak
Arya Stark,Gatins
Arya Stark,Steve
Arya Stark,Brotherhood Member
Arya Stark,Izembaro
Arya Stark,Black Walder Rivers
Arya Stark,Lothar Frey
Arya Stark,Mace Tyrell
Arya Stark,Bobono
Arya Stark,Clarenzo
Arya Stark,Tully Bannerman
Arya Stark,Morgan
Arya Stark,Riddell
Lord Varys,Sandor 'The Hound' Clegane
Lord Varys,Bronn
Lord Varys,Brienne of Tarth
Lord Varys,Jaqen H'ghar
Lord Varys,Tommen Baratheon
Lord Varys,Lady Crane
Lord Varys,Grand Maester Pycelle
Lord Varys,Qyburn
Lord Varys,Kevan Lannister
Lord Varys,The Waif
Lord Varys,Grey Worm
Lord Varys,Beric Dondarrion
Lord Varys,Thoros of Myr
Lord Varys,Brynden 'Blackfish' Tully
Lord Varys,Edmure Tully
Lord Varys,Podrick Payne
Lord Varys,Lancel Lannister
Lord Varys,Gregor Clegane
Lord Varys,Lem Lemoncloak
Lord Varys,Gatins
Lord Varys,Steve
Lord Varys,Brotherhood Member
Lord Varys,Izembaro
Lord Varys,Black Walder Rivers
Lord Varys,Lothar Frey
Lord Varys,Mace Tyrell
Lord Varys,Bobono
Lord Varys,Clarenzo
Lord Varys,Tully Bannerman
Lord Varys,Morgan
Lord Varys,Riddell
Sandor 'The Hound' Clegane,Bronn
Sandor 'The Hound' Clegane,Brienne of Tarth
Sandor 'The Hound' Clegane,Jaqen H'ghar
Sandor 'The Hound' Clegane,Tommen Baratheon
Sandor 'The Hound' Clegane,Lady Crane
Sandor 'The Hound' Clegane,Grand Maester Pycelle
Sandor 'The Hound' Clegane,Qyburn
Sandor 'The Hound' Clegane,Kevan Lannister
Sandor 'The Hound' Clegane,The Waif
Sandor 'The Hound' Clegane,Grey Worm
Sandor 'The Hound' Clegane,Beric Dondarrion
Sandor 'The Hound' Clegane,Thoros of Myr
Sandor 'The Hound' Clegane,Brynden 'Blackfish' Tully
Sandor 'The Hound' Clegane,Edmure Tully
Sandor 'The Hound' Clegane,Podrick Payne
Sandor 'The Hound' Clegane,Lancel Lannister
Sandor 'The Hound' Clegane,Gregor Clegane
Sandor 'The Hound' Clegane,Lem Lemoncloak
Sandor 'The Hound' Clegane,Gatins
Sandor 'The Hound' Clegane,Steve
Sandor 'The Hound' Clegane,Brotherhood Member
Sandor 'The Hound' Clegane,Izembaro
Sandor 'The Hound' Clegane,Black Walder Rivers
Sandor 'The Hound' Clegane,Lothar Frey
Sandor 'The Hound' Clegane,Mace Tyrell
Sandor 'The Hound' Clegane,Bobono
Sandor 'The Hound' Clegane,Clarenzo
Sandor 'The Hound' Clegane,Tully Bannerman
Sandor 'The Hound' Clegane,Morgan
Sandor 'The Hound' Clegane,Riddell
